test_id,pose_x,pose_y,theta_deg,manip,centering
1,-0.485,0.252,-30.0,11.062399668643783,0.651727900054329
2,-0.5,0.25,-60.0,10.562090663269391,0.7019601622655913
3,-0.325,0.163,0.0,13.907009250650496,0.6398133674743559
4,-0.62,0.34,45.0,10.577931580566373,0.7168403001359572
5,-0.473,0.395,90.0,10.234251458200589,0.6240988417579607
6,-0.555,0.425,-30.0,8.734313264609339,0.6445802082758983
7,-0.515,0.365,0.0,8.734996257206395,0.6708614528529556
8,-0.515,0.07,-30.0,11.936107526129938,0.5582061609446033
9,-0.335,0.355,45.0,9.845768317506893,0.6067400748791352
10,-0.455,0.23,-30.0,12.214597111291315,0.4974526721737287
11,-0.29,0.325,0.0,12.178634939410273,0.6927881972830984
12,-0.63,0.155,-60.0,9.825541417098654,0.6808335156021448
13,-0.295,-0.01,-90.0,19.948633951818977,0.41110176329404374
14,-0.292,-0.003,90.0,17.294290044948635,0.7316635122531938
15,-0.41,0.41,90.0,9.647569187004832,0.7229722467352718
16,-0.41,0.133,-90.0,12.523928893004465,0.7283522531447257
17,-0.28,0.27,45.0,11.80854197177372,0.6333498578795195
18,-0.29,0.385,0.0,11.226837011686472,0.3574441481702559
19,-0.615,0.235,-30.0,8.991843588589505,0.5578803656643806
20,-0.285,-0.02,-60.0,26.250915155328443,0.5640618623611583
