generation,best_individual
0,1
1,6
2,2
3,7
4,1
5,1
6,0
7,4
8,0
9,1
10,6
11,1
12,4
13,0
14,5
15,3
16,1
17,7
18,4
19,5
20,5
21,2
22,6
23,0
24,2
25,7
26,5
27,6
28,5
29,3
30,3
31,4
32,0
33,5
34,1
35,4
36,2
37,4
38,1
39,3
40,0
41,2
42,3
43,2
44,0
45,4
46,0
47,3
48,4
49,3
50,3
51,5
52,6
53,2
54,5
55,1
56,2
57,4
58,7
59,6
60,1
61,2
62,5
63,4
64,1
65,1
66,7
67,4
68,5
69,0
70,2
71,0
72,5
73,3
74,6
75,3
76,6
77,7
78,5
79,5
80,3
81,6
82,4
83,5
84,1
85,6
86,2
87,7
88,5
89,7
90,4
91,1
92,7
93,7
94,6
95,1
96,4
97,3
98,4
99,4
