generation,piece1
0,118.03955827446413
1,132.2456244586243
2,125.24869586213639
3,118.29848688634488
4,126.19428514755121
5,126.19428514755121
6,127.9726454693388
7,127.9726454693388
8,127.9726454693388
9,129.70920418355433
10,129.70920418355433
11,129.70920418355433
12,129.70920418355433
13,129.70920418355433
14,129.70920418355433
15,129.70920418355433
16,129.70920418355433
17,129.70920418355433
18,129.70920418355433
19,128.5938250952913
20,129.56289064307487
21,129.56289064307487
22,129.56289064307487
23,129.56289064307487
24,129.56289064307487
25,129.56289064307487
26,129.56289064307487
27,128.94459906543543
28,129.14709514386172
29,130.27846593941106
30,130.27846593941106
31,130.27846593941106
32,130.27846593941106
33,130.27846593941106
34,130.27846593941106
35,130.27846593941106
36,130.27846593941106
37,130.27846593941106
38,130.27846593941106
39,130.27846593941106
40,130.27846593941106
41,130.27846593941106
42,130.27846593941106
43,130.27846593941106
44,130.27846593941106
45,130.27846593941106
46,130.27846593941106
47,130.27846593941106
48,130.27846593941106
49,130.27846593941106
50,130.27846593941106
51,130.27846593941106
52,130.27846593941106
53,130.27846593941106
54,130.27846593941106
55,130.27846593941106
56,130.27846593941106
57,130.27846593941106
58,130.27846593941106
59,130.27846593941106
60,130.27846593941106
61,130.27846593941106
62,130.27846593941106
63,130.27846593941106
64,130.27846593941106
65,130.27846593941106
66,130.27846593941106
67,130.27846593941106
68,130.27846593941106
69,130.27846593941106
70,130.27846593941106
71,130.27846593941106
72,130.27846593941106
73,129.09252723026603
74,129.09252723026603
75,129.09252723026603
76,129.09252723026603
77,129.09252723026603
78,129.09252723026603
79,129.09252723026603
80,129.09252723026603
81,129.09252723026603
82,129.09252723026603
83,129.09252723026603
84,129.09252723026603
85,129.09252723026603
86,129.09252723026603
87,129.09252723026603
88,129.09252723026603
89,129.09252723026603
90,129.09252723026603
91,129.09252723026603
92,129.09252723026603
93,129.09252723026603
94,129.09252723026603
95,129.09252723026603
96,129.09252723026603
97,129.1165446432081
98,129.1165446432081
99,129.1165446432081
