generation,best_individual
0,29
1,25
2,26
3,36
4,14
5,12
6,7
7,33
8,30
9,2
10,19
11,23
12,22
13,20
14,21
15,35
16,30
17,8
18,38
19,23
20,4
21,35
22,21
23,16
24,12
25,36
26,12
27,22
28,38
29,15
30,7
31,23
32,15
33,5
34,3
35,23
36,16
37,38
38,36
39,4
40,39
41,4
42,27
43,11
44,17
45,32
46,32
47,6
48,4
49,6
50,23
51,38
52,31
53,28
54,8
55,32
56,20
57,11
58,7
59,35
60,3
61,7
62,33
63,1
64,39
65,16
66,36
67,39
68,24
69,30
70,6
71,26
72,22
73,32
74,23
75,19
76,26
77,22
78,25
79,5
80,32
81,31
82,37
83,33
84,39
85,34
86,27
87,13
88,0
89,22
90,4
91,9
92,27
93,10
94,7
95,31
96,0
97,14
98,8
99,32
