config_0,config_1,config_2,config_3
[-3.5957644 -1.2016956  1.7035147  1.9686207  1.3181022 -4.00554  ],[ 2.494561  -1.6047968 -2.132741   4.0128093  1.48095    1.9540486],[ 2.417986    0.35183468 -1.6698148  -4.8345895  -1.3132763  -1.3912871 ],[-2.2747974  5.15361    0.5476446  5.2406416 -2.1347165 -3.219868 ]
[-3.5957644 -1.2016956  1.7035147  1.9686207  1.3181022 -4.00554  ],[ 2.494561  -1.6047968 -2.132741   4.0128093  1.48095    1.9540486],[ 2.417986    0.35183468 -1.6698148  -4.8345895  -1.3132763  -1.3912871 ],[-2.2747974  5.15361    0.5476446  5.2406416 -2.1347165 -3.219868 ]
[ 0.29591817 -1.6185331  -1.5914139  -1.959111    1.0575289   1.0316763 ],[-1.7393343 -1.6456078 -2.2823362  3.9221625 -3.573029   4.7009697],[-3.626997   4.797622   1.289251  -1.1066499  4.714676  -0.0332422],[-5.4239306  3.088369  -1.178155   0.6006641  5.130816   5.9921837]
[ 1.6367086  -0.80221415  1.3863913  -4.820319    1.4672852  -2.8128786 ],[ 0.405688   5.6849766  1.5307502 -0.8540878 -1.4243895 -1.313637 ],[ 1.4694144  5.430659   1.3344061 -1.1564076 -1.4075079  1.9742242],[ 3.7706885  -0.70349205  2.1418934  -5.064932   -4.0570245  -1.2846634 ]
[ 1.6367086  -0.80221415  1.3863913  -4.820319    1.4672852  -2.8128786 ],[ 0.405688   5.6849766  1.5307502 -0.8540878 -1.4243895 -1.313637 ],[ 1.4694144  5.430659   1.3344061 -1.1564076 -1.4075079  1.9742242],[ 3.7706885  -0.70349205  2.1418934  -5.064932   -4.0570245  -1.2846634 ]
[ 1.6367086  -0.80221415  1.3863913  -4.820319    1.4672852  -2.8128786 ],[ 0.405688   5.6849766  1.5307502 -0.8540878 -1.4243895 -1.313637 ],[ 1.4694144  5.430659   1.3344061 -1.1564076 -1.4075079  1.9742242],[ 3.7706885  -0.70349205  2.1418934  -5.064932   -4.0570245  -1.2846634 ]
[ 1.6367086  -0.80221415  1.3863913  -4.820319    1.4672852  -2.8128786 ],[ 0.405688   5.6849766  1.5307502 -0.8540878 -1.4243895 -1.313637 ],[ 1.4694144  5.430659   1.3344061 -1.1564076 -1.4075079  1.9742242],[ 3.7706885  -0.70349205  2.1418934  -5.064932   -4.0570245  -1.2846634 ]
[ 1.6367086  -0.80221415  1.3863913  -4.820319    1.4672852  -2.8128786 ],[ 0.405688   5.6849766  1.5307502 -0.8540878 -1.4243895 -1.313637 ],[ 1.4694144  5.430659   1.3344061 -1.1564076 -1.4075079  1.9742242],[ 3.7706885  -0.70349205  2.1418934  -5.064932   -4.0570245  -1.2846634 ]
[-3.565057   -1.4983841   1.6442436  -2.254161   -2.1812897   0.08948623],[ 0.8413473   4.8498006   2.1911666  -1.0584567  -0.75678337  0.24357997],[-0.22191963 -1.7784836  -0.9838403   4.492721    1.6347929   0.38882312],[-5.523968   3.411648  -1.613106   0.4485664 -1.155637   1.2956235]
[-3.565057   -1.4983841   1.6442436  -2.254161   -2.1812897   0.08948623],[ 0.8413473   4.8498006   2.1911666  -1.0584567  -0.75678337  0.24357997],[-0.22191963 -1.7784836  -0.9838403   4.492721    1.6347929   0.38882312],[-5.523968   3.411648  -1.613106   0.4485664 -1.155637   1.2956235]
[-3.565057   -1.4983841   1.6442436  -2.254161   -2.1812897   0.08948623],[ 0.8413473   4.8498006   2.1911666  -1.0584567  -0.75678337  0.24357997],[-0.22191963 -1.7784836  -0.9838403   4.492721    1.6347929   0.38882312],[-5.523968   3.411648  -1.613106   0.4485664 -1.155637   1.2956235]
[-3.565057   -1.4983841   1.6442436  -2.254161   -2.1812897   0.08948623],[ 0.8413473   4.8498006   2.1911666  -1.0584567  -0.75678337  0.24357997],[-0.22191963 -1.7784836  -0.9838403   4.492721    1.6347929   0.38882312],[-5.523968   3.411648  -1.613106   0.4485664 -1.155637   1.2956235]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[-5.9816084 -1.9235947 -1.3959513 -1.9928911  1.5184579  1.2020869],[-1.3157858  4.6592836 -2.3895423 -2.6723604  2.6465797 -1.7183474],[-3.3588884 -1.2574863  1.0718507 -0.645941  -1.585391   6.238698 ],[ 0.9913377  3.0408912 -1.6855091 -6.091082   4.9165277  3.5368242]
[ 0.3058328  4.403862  -1.3937106 -1.9447137  1.1717956  1.1264702],[-1.3542908  4.649969  -2.4511817 -2.4975893 -3.3068533 -1.7441814],[-3.410916    4.99179     1.1490273   5.23462    -1.6013031  -0.08824629],[ 0.9852091  3.1095278 -1.1445448 -5.7329445  5.4370294  0.9323177]
[ 0.3058328  4.403862  -1.3937106 -1.9447137  1.1717956  1.1264702],[-1.3542908  4.649969  -2.4511817 -2.4975893 -3.3068533 -1.7441814],[-3.410916    4.99179     1.1490273   5.23462    -1.6013031  -0.08824629],[ 0.9852091  3.1095278 -1.1445448 -5.7329445  5.4370294  0.9323177]
[ 0.3058328  4.403862  -1.3937106 -1.9447137  1.1717956  1.1264702],[-1.3542908  4.649969  -2.4511817 -2.4975893 -3.3068533 -1.7441814],[-3.410916    4.99179     1.1490273   5.23462    -1.6013031  -0.08824629],[ 0.9852091  3.1095278 -1.1445448 -5.7329445  5.4370294  0.9323177]
[ 0.3058328  4.403862  -1.3937106 -1.9447137  1.1717956  1.1264702],[-1.3542908  4.649969  -2.4511817 -2.4975893 -3.3068533 -1.7441814],[-3.410916    4.99179     1.1490273   5.23462    -1.6013031  -0.08824629],[ 0.9852091  3.1095278 -1.1445448 -5.7329445  5.4370294  0.9323177]
