generation,best_individual
0,38
1,30
2,30
3,36
4,9
5,8
6,31
7,14
8,36
9,34
10,32
11,34
12,34
13,16
14,16
15,26
16,15
17,31
18,31
19,22
20,3
21,33
22,12
23,29
24,14
25,33
26,20
27,32
28,38
29,4
30,29
31,6
32,10
33,7
34,24
35,31
36,10
37,0
38,5
39,15
40,10
41,7
42,29
43,9
44,34
45,8
46,11
47,31
48,33
49,35
50,16
51,38
52,7
53,23
54,8
55,19
56,11
57,33
58,17
59,25
60,2
61,3
62,37
63,13
64,29
65,39
66,18
67,25
68,21
69,11
70,16
71,10
72,19
73,35
74,20
75,29
76,37
77,28
78,13
79,7
80,11
81,38
82,20
83,22
84,30
85,21
86,31
87,27
88,11
89,27
90,9
91,15
92,10
93,35
94,32
95,8
96,17
97,26
98,38
99,12
