config_0,config_1,config_2,config_3
[ 6.11204   -1.323515  -1.7559108 -1.6263208 -4.751019   1.3993645],[-1.9466355  -1.9623629  -2.7592587  -0.32507083 -2.7980297  -4.033478  ],[ 5.7474995   4.653332   -1.2648344   4.0254335  -4.0914755   0.89094734],[-5.2592688 -2.8580785 -1.7076683 -4.9050536  5.2462635 -6.259698 ]
[ 1.9700333 -1.3014926  1.8068895  4.747298   4.924215   0.3447897],[-6.136926   5.6104836  2.287903  -1.6905938  5.272197  -4.5283747],[ 1.8697313   5.498981    1.0693694  -0.5026343  -1.2784234   0.06368312],[-2.6129072  -0.76326627  1.6860585   1.3099811   2.3748453   5.5358415 ]
[ 1.9700333 -1.3014926  1.8068895  4.747298   4.924215   0.3447897],[-6.136926   5.6104836  2.287903  -1.6905938  5.272197  -4.5283747],[ 1.8697313   5.498981    1.0693694  -0.5026343  -1.2784234   0.06368312],[-2.6129072  -0.76326627  1.6860585   1.3099811   2.3748453   5.5358415 ]
[ 1.9700333 -1.3014926  1.8068895  4.747298   4.924215   0.3447897],[-6.136926   5.6104836  2.287903  -1.6905938  5.272197  -4.5283747],[ 1.8697313   5.498981    1.0693694  -0.5026343  -1.2784234   0.06368312],[-2.6129072  -0.76326627  1.6860585   1.3099811   2.3748453   5.5358415 ]
[ 1.9700333 -1.3014926  1.8068895  4.747298   4.924215   0.3447897],[-6.136926   5.6104836  2.287903  -1.6905938  5.272197  -4.5283747],[ 1.8697313   5.498981    1.0693694  -0.5026343  -1.2784234   0.06368312],[-2.6129072  -0.76326627  1.6860585   1.3099811   2.3748453   5.5358415 ]
[ 1.9700333 -1.3014926  1.8068895  4.747298   4.924215   0.3447897],[-6.136926   5.6104836  2.287903  -1.6905938  5.272197  -4.5283747],[ 1.8697313   5.498981    1.0693694  -0.5026343  -1.2784234   0.06368312],[-2.6129072  -0.76326627  1.6860585   1.3099811   2.3748453   5.5358415 ]
[ 1.7500206  -0.76582414  1.6860391   5.0654545  -1.3948029  -6.2315364 ],[ 6.0229483  -0.72981906  2.5057487  -2.1561074   5.0460515  -4.124151  ],[ 1.7330515  -0.04638886  1.2039644  -3.7968264   1.4275612   3.0633662 ],[-5.159687   -1.6589569  -2.0943456  -4.364138   -1.4461083  -0.43126556]
[ 1.7500206  -0.76582414  1.6860391   5.0654545  -1.3948029  -6.2315364 ],[ 6.0229483  -0.72981906  2.5057487  -2.1561074   5.0460515  -4.124151  ],[ 1.7330515  -0.04638886  1.2039644  -3.7968264   1.4275612   3.0633662 ],[-5.159687   -1.6589569  -2.0943456  -4.364138   -1.4461083  -0.43126556]
[ 1.7500206  -0.76582414  1.6860391   5.0654545  -1.3948029  -6.2315364 ],[ 6.0229483  -0.72981906  2.5057487  -2.1561074   5.0460515  -4.124151  ],[ 1.7330515  -0.04638886  1.2039644  -3.7968264   1.4275612   3.0633662 ],[-5.159687   -1.6589569  -2.0943456  -4.364138   -1.4461083  -0.43126556]
[ 1.7500206  -0.76582414  1.6860391   5.0654545  -1.3948029  -6.2315364 ],[ 6.0229483  -0.72981906  2.5057487  -2.1561074   5.0460515  -4.124151  ],[ 1.7330515  -0.04638886  1.2039644  -3.7968264   1.4275612   3.0633662 ],[-5.159687   -1.6589569  -2.0943456  -4.364138   -1.4461083  -0.43126556]
[ 1.7500206  -0.76582414  1.6860391   5.0654545  -1.3948029  -6.2315364 ],[ 6.0229483  -0.72981906  2.5057487  -2.1561074   5.0460515  -4.124151  ],[ 1.7330515  -0.04638886  1.2039644  -3.7968264   1.4275612   3.0633662 ],[-5.159687   -1.6589569  -2.0943456  -4.364138   -1.4461083  -0.43126556]
[ 1.7500206  -0.76582414  1.6860391   5.0654545  -1.3948029  -6.2315364 ],[ 6.0229483  -0.72981906  2.5057487  -2.1561074   5.0460515  -4.124151  ],[ 1.7330515  -0.04638886  1.2039644  -3.7968264   1.4275612   3.0633662 ],[-5.159687   -1.6589569  -2.0943456  -4.364138   -1.4461083  -0.43126556]
[ 1.7500206  -0.76582414  1.6860391   5.0654545  -1.3948029  -6.2315364 ],[ 6.0229483  -0.72981906  2.5057487  -2.1561074   5.0460515  -4.124151  ],[ 1.7330515  -0.04638886  1.2039644  -3.7968264   1.4275612   3.0633662 ],[-5.159687   -1.6589569  -2.0943456  -4.364138   -1.4461083  -0.43126556]
[ 1.7500206  -0.76582414  1.6860391   5.0654545  -1.3948029  -6.2315364 ],[ 6.0229483  -0.72981906  2.5057487  -2.1561074   5.0460515  -4.124151  ],[ 1.7330515  -0.04638886  1.2039644  -3.7968264   1.4275612   3.0633662 ],[-5.159687   -1.6589569  -2.0943456  -4.364138   -1.4461083  -0.43126556]
[ 1.7500206  -0.76582414  1.6860391   5.0654545  -1.3948029  -6.2315364 ],[ 6.0229483  -0.72981906  2.5057487  -2.1561074   5.0460515  -4.124151  ],[ 1.7330515  -0.04638886  1.2039644  -3.7968264   1.4275612   3.0633662 ],[-5.159687   -1.6589569  -2.0943456  -4.364138   -1.4461083  -0.43126556]
[ 1.7500206  -0.76582414  1.6860391   5.0654545  -1.3948029  -6.2315364 ],[ 6.0229483  -0.72981906  2.5057487  -2.1561074   5.0460515  -4.124151  ],[ 1.7330515  -0.04638886  1.2039644  -3.7968264   1.4275612   3.0633662 ],[-5.159687   -1.6589569  -2.0943456  -4.364138   -1.4461083  -0.43126556]
[-4.0624123 -1.2371104  1.6625236 -5.608445   1.9065812  3.7137458],[ 0.40818515 -0.6341129   2.141033   -1.4342488  -1.8416632   1.6766627 ],[ 1.9858304 -1.2915496  1.7240175  4.4757447 -1.4850959 -5.8765445],[ 1.110984  -2.442088  -1.5538934 -2.899203  -5.1060653 -2.8940234]
[-4.0624123 -1.2371104  1.6625236 -5.608445   1.9065812  3.7137458],[ 0.40818515 -0.6341129   2.141033   -1.4342488  -1.8416632   1.6766627 ],[ 1.9858304 -1.2915496  1.7240175  4.4757447 -1.4850959 -5.8765445],[ 1.110984  -2.442088  -1.5538934 -2.899203  -5.1060653 -2.8940234]
[-4.0624123 -1.2371104  1.6625236 -5.608445   1.9065812  3.7137458],[ 0.40818515 -0.6341129   2.141033   -1.4342488  -1.8416632   1.6766627 ],[ 1.9858304 -1.2915496  1.7240175  4.4757447 -1.4850959 -5.8765445],[ 1.110984  -2.442088  -1.5538934 -2.899203  -5.1060653 -2.8940234]
