generation,best_individual
0,25
1,24
2,25
3,0
4,39
5,1
6,3
7,8
8,3
9,11
10,9
11,9
12,24
13,10
14,23
15,23
16,33
17,39
18,23
19,17
20,2
21,21
22,7
23,33
24,20
25,29
26,12
27,13
28,4
29,18
30,32
31,4
32,21
33,36
34,12
35,25
36,25
37,38
38,1
39,17
40,32
41,35
42,28
43,25
44,27
45,1
46,2
47,37
48,3
49,9
50,28
51,16
52,23
53,34
54,33
55,34
56,2
57,18
58,22
59,22
60,31
61,27
62,2
63,10
64,33
65,2
66,30
67,28
68,7
69,31
70,6
71,7
72,17
73,22
74,19
75,9
76,4
77,29
78,31
79,4
80,11
81,24
82,30
83,4
84,8
85,13
86,21
87,16
88,5
89,25
90,22
91,35
92,5
93,1
94,30
95,19
96,0
97,16
98,17
99,39
