config_0,config_1,config_2,config_3
[ 1.7521176  -0.47223365  1.3828543   4.440926   -1.4762961   0.4249483 ],[ 0.46291003 -0.12438513  1.561283   -1.4900608  -1.0926758  -0.29588434],[ 1.6346662  -0.15309347  0.6423968  -0.53450215  4.7636695  -3.4217181 ],[ 0.8344325  4.2246485 -2.1209912  1.869246  -0.9839856  4.926595 ]
[ 2.1542401  -1.5461079   1.8443586  -2.1696823   4.6261353  -0.27710566],[ 0.5495522  -1.0542518   1.9903476  -0.84389985  5.360185   -2.257348  ],[ 1.8602142  -1.2104857   1.2958765  -1.2214297  -1.4638846   0.40042916],[ 1.140456  -2.2743063 -1.7523127  3.657979   1.1557426  3.220049 ]
[ 2.1542401  -1.5461079   1.8443586  -2.1696823   4.6261353  -0.27710566],[ 0.5495522  -1.0542518   1.9903476  -0.84389985  5.360185   -2.257348  ],[ 1.8602142  -1.2104857   1.2958765  -1.2214297  -1.4638846   0.40042916],[ 1.140456  -2.2743063 -1.7523127  3.657979   1.1557426  3.220049 ]
[ 2.1542401  -1.5461079   1.8443586  -2.1696823   4.6261353  -0.27710566],[ 0.5495522  -1.0542518   1.9903476  -0.84389985  5.360185   -2.257348  ],[ 1.8602142  -1.2104857   1.2958765  -1.2214297  -1.4638846   0.40042916],[ 1.140456  -2.2743063 -1.7523127  3.657979   1.1557426  3.220049 ]
[ 1.7601708   5.3209414   1.760737    4.3443694  -1.4771295   0.24430314],[-5.833336   -0.47714597  1.7578161  -1.2761136  -1.1331437  -1.0702024 ],[ 1.6017742  5.6780477  1.1626215 -0.9180506 -1.5275506 -4.456383 ],[ 1.1177837 -2.28017   -2.046449  -4.6263056 -1.1735511  4.6853256]
[ 1.7601708   5.3209414   1.760737    4.3443694  -1.4771295   0.24430314],[-5.833336   -0.47714597  1.7578161  -1.2761136  -1.1331437  -1.0702024 ],[ 1.6017742  5.6780477  1.1626215 -0.9180506 -1.5275506 -4.456383 ],[ 1.1177837 -2.28017   -2.046449  -4.6263056 -1.1735511  4.6853256]
[-4.6830764  -0.43530947  1.3699644   1.2843606  -4.7131696   3.3127918 ],[ 0.15086797  5.9525156   1.6119978  -1.3517213  -1.4232275   0.05272656],[ 1.6233541  -0.43461058  1.2421018  -0.9443611  -1.4772561  -0.6194431 ],[-2.3846097  5.058361   2.1742783  1.2211338 -4.102891   3.4730022]
[-4.6830764  -0.43530947  1.3699644   1.2843606  -4.7131696   3.3127918 ],[ 0.15086797  5.9525156   1.6119978  -1.3517213  -1.4232275   0.05272656],[ 1.6233541  -0.43461058  1.2421018  -0.9443611  -1.4772561  -0.6194431 ],[-2.3846097  5.058361   2.1742783  1.2211338 -4.102891   3.4730022]
[ 1.5807165  -0.74958247  1.7951874  -1.6140056   4.7207294   0.00530522],[-6.074614   -0.29060683  1.5666877   5.1673365  -1.5657994  -0.9135002 ],[ 1.5436739  -0.47200057  1.3211058  -1.1488339   4.707196    3.0665462 ],[ 3.5691524 -1.2828643  2.287954  -4.993913   2.1887739  3.6814458]
[ 1.5807165  -0.74958247  1.7951874  -1.6140056   4.7207294   0.00530522],[-6.074614   -0.29060683  1.5666877   5.1673365  -1.5657994  -0.9135002 ],[ 1.5436739  -0.47200057  1.3211058  -1.1488339   4.707196    3.0665462 ],[ 3.5691524 -1.2828643  2.287954  -4.993913   2.1887739  3.6814458]
