ind_0,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7
"[0, 3, 3]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 3, 3]","[0, 3, 3]","[1, 1000, 1000]"
"[0, 4, 4]","[1, 1000, 1000]","[0, 4, 4]","[0, 4, 4]","[0, 3, 3]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]"
"[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]"
"[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]"
"[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]"
"[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 3, 3]","[0, 4, 4]","[0, 4, 4]","[0, 3, 3]","[0, 4, 4]"
"[0, 4, 4]","[0, 4, 4]","[0, 3, 3]","[0, 4, 4]","[0, 3, 3]","[0, 4, 4]","[0, 4, 4]","[0, 3, 3]"
"[0, 4, 4]","[0, 4, 4]","[0, 3, 3]","[0, 4, 4]","[0, 4, 4]","[0, 3, 3]","[0, 4, 4]","[0, 3, 3]"
"[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 3, 3]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 3, 3]"
"[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 3, 3]","[0, 3, 3]","[0, 4, 4]"
"[1, 1000, 1000]","[1, 1000, 1000]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 3, 3]","[0, 4, 4]","[0, 4, 4]"
"[1, 1000, 1000]","[0, 4, 4]","[0, 4, 4]","[0, 3, 3]","[1, 1000, 1000]","[0, 4, 4]","[0, 4, 4]","[1, 1000, 1000]"
"[0, 4, 4]","[1, 1000, 1000]","[1, 1000, 1000]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[1, 1000, 1000]","[0, 4, 4]"
"[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[1, 1000, 1000]","[0, 4, 4]","[0, 4, 4]","[1, 1000, 1000]","[0, 4, 4]"
"[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 4, 4]","[0, 3, 3]","[0, 4, 4]"
