t0_j1,t0_j2,t0_j3,t0_j4,t0_j5,t0_j6
-0.47142926,4.3760905,-1.5700226,-2.4662817,1.6205194,1.5811558
-5.958503,-1.7307144,-1.8468629,3.6468637,1.5116998,1.5668353
-5.958503,-1.7307144,-1.8468629,3.6468637,1.5116998,1.5668353
-5.857976,4.5883102,-1.8510587,2.671245,4.741567,1.6062644
-5.857976,4.5883102,-1.8510587,2.671245,4.741567,1.6062644
-5.857976,4.5883102,-1.8510587,2.671245,4.741567,1.6062644
-5.857976,4.5883102,-1.8510587,2.671245,4.741567,1.6062644
0.33370328,4.8560944,-2.094306,-2.2857308,1.5849409,1.577727
0.33370328,4.8560944,-2.094306,-2.2857308,1.5849409,1.577727
0.33370328,4.8560944,-2.094306,-2.2857308,1.5849409,1.577727
0.33370328,4.8560944,-2.094306,-2.2857308,1.5849409,1.577727
-3.4853585,-1.7226167,2.1013908,5.4518905,4.621887,1.526047
-3.4853585,-1.7226167,2.1013908,5.4518905,4.621887,1.526047
-3.528531,-1.7283866,2.1058166,-0.8428138,4.58571,1.5045481
-3.528531,-1.7283866,2.1058166,-0.8428138,4.58571,1.5045481
-3.528531,-1.7283866,2.1058166,-0.8428138,4.58571,1.5045481
2.753883,4.553219,2.1085649,-0.8479256,-1.6996415,1.5063789
2.753883,4.553219,2.1085649,-0.8479256,-1.6996415,1.5063789
2.753883,4.553219,2.1085649,-0.8479256,-1.6996415,1.5063789
2.753883,4.553219,2.1085649,-0.8479256,-1.6996415,1.5063789
2.753883,4.553219,2.1085649,-0.8479256,-1.6996415,1.5063789
2.753883,4.553219,2.1085649,-0.8479256,-1.6996415,1.5063789
2.753883,4.553219,2.1085649,-0.8479256,-1.6996415,1.5063789
2.753883,4.553219,2.1085649,-0.8479256,-1.6996415,1.5063789
2.753883,4.553219,2.1085649,-0.8479256,-1.6996415,1.5063789
2.753883,4.553219,2.1085649,-0.8479256,-1.6996415,1.5063789
2.753883,4.553219,2.1085649,-0.8479256,-1.6996415,1.5063789
2.753883,4.553219,2.1085649,-0.8479256,-1.6996415,1.5063789
-5.877565,4.889443,-2.119959,-2.2708504,1.5898002,-4.702046
-5.877565,4.889443,-2.119959,-2.2708504,1.5898002,-4.702046
-5.877565,4.889443,-2.119959,-2.2708504,1.5898002,-4.702046
-5.877565,4.889443,-2.119959,-2.2708504,1.5898002,-4.702046
-5.877565,4.889443,-2.119959,-2.2708504,1.5898002,-4.702046
-5.877565,4.889443,-2.119959,-2.2708504,1.5898002,-4.702046
-5.877565,4.889443,-2.119959,-2.2708504,1.5898002,-4.702046
-5.877565,4.889443,-2.119959,-2.2708504,1.5898002,-4.702046
-5.877565,4.889443,-2.119959,-2.2708504,1.5898002,-4.702046
-5.877565,4.889443,-2.119959,-2.2708504,1.5898002,-4.702046
-5.877565,4.889443,-2.119959,-2.2708504,1.5898002,-4.702046
2.7412837,4.531214,2.1232297,-0.8740146,4.6979985,1.5630808
2.7364097,4.532557,2.1198652,-0.8659327,-1.5944375,-4.7210255
2.7364097,4.532557,2.1198652,-0.8659327,-1.5944375,-4.7210255
2.7364097,4.532557,2.1198652,-0.8659327,-1.5944375,-4.7210255
2.7364097,4.532557,2.1198652,-0.8659327,-1.5944375,-4.7210255
2.7364097,4.532557,2.1198652,-0.8659327,-1.5944375,-4.7210255
2.7364097,4.532557,2.1198652,-0.8659327,-1.5944375,-4.7210255
2.7364097,4.532557,2.1198652,-0.8659327,-1.5944375,-4.7210255
2.7364097,4.532557,2.1198652,-0.8659327,-1.5944375,-4.7210255
2.7364097,4.532557,2.1198652,-0.8659327,-1.5944375,-4.7210255
2.7364097,4.532557,2.1198652,-0.8659327,-1.5944375,-4.7210255
