t0_j1,t0_j2,t0_j3,t0_j4,t0_j5,t0_j6
-0.5308777,-1.8830442,-1.6121482,2.650159,-1.5743688,1.5636096
-0.5308777,-1.8830442,-1.6121482,2.650159,-1.5743688,1.5636096
-0.5308777,-1.8830442,-1.6121482,2.650159,-1.5743688,1.5636096
0.43914863,-1.1952016,1.5208791,0.4949684,-4.6364393,1.66819
0.43914863,-1.1952016,1.5208791,0.4949684,-4.6364393,1.66819
4.492257,-2.339274,-1.5235581,1.5172961,-1.6600972,-4.6290007
4.492257,-2.339274,-1.5235581,1.5172961,-1.6600972,-4.6290007
2.0724525,-0.83755827,1.5840491,-4.70724,-4.570057,-4.859633
-5.078519,4.5709534,2.1070883,0.41297382,-4.706718,1.559491
-5.078519,4.5709534,2.1070883,0.41297382,-4.706718,1.559491
-5.078519,4.5709534,2.1070883,0.41297382,-4.706718,1.559491
-5.078519,4.5709534,2.1070883,0.41297382,-4.706718,1.559491
-5.078519,4.5709534,2.1070883,0.41297382,-4.706718,1.559491
-5.078519,4.5709534,2.1070883,0.41297382,-4.706718,1.559491
-5.078519,4.5709534,2.1070883,0.41297382,-4.706718,1.559491
-5.078519,4.5709534,2.1070883,0.41297382,-4.706718,1.559491
-5.078519,4.5709534,2.1070883,0.41297382,-4.706718,1.559491
-5.078519,4.5709534,2.1070883,0.41297382,-4.706718,1.559491
-5.078519,4.5709534,2.1070883,0.41297382,-4.706718,1.559491
-5.078519,4.5709534,2.1070883,0.41297382,-4.706718,1.559491
-3.9623406,5.143642,2.2540998,-5.004188,1.8455752,-4.9584446
-3.9623406,5.143642,2.2540998,-5.004188,1.8455752,-4.9584446
-3.9623406,5.143642,2.2540998,-5.004188,1.8455752,-4.9584446
-3.9623406,5.143642,2.2540998,-5.004188,1.8455752,-4.9584446
-3.9623406,5.143642,2.2540998,-5.004188,1.8455752,-4.9584446
-3.9623406,5.143642,2.2540998,-5.004188,1.8455752,-4.9584446
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
2.366398,5.149377,2.2532456,-5.012282,1.8609563,-4.973634
