q1,q2,q3,q4,q5,q6
5.366209487020735525e-01,1.251460845598691418e-01,8.170106835546443458e-01,1.364287814632900053e+00,-3.783040148189737994e-01,6.198817047495392973e-01
4.200647867310906003e-01,7.136141808978452294e-02,8.915358037032535821e-01,1.158561185273189631e+00,-3.201824300191597472e-01,7.376366421234710202e-01
2.636348771417791892e-01,2.341559345801754941e-02,9.687394481562360271e-01,7.838777504510439087e-01,-2.640500612728836627e-01,9.931433630705929216e-01
7.058665838412508248e-05,-4.688956764374660122e-03,1.023835320540190885e+00,2.424072785737817030e-04,-2.337482031438035679e-01,1.570609748134381700e+00
-2.635657346576308901e-01,2.342189050035031750e-02,9.687906300866214737e-01,-7.835396081792175282e-01,-2.640648956655022861e-01,2.148160359782424589e+00
-4.200271892557256304e-01,7.136908364755224776e-02,8.916053415404264770e-01,-1.158261230387663820e+00,-3.201951568512874657e-01,2.403674712548903081e+00
-4.532823364975777647e-01,9.443279865606749035e-02,8.610084319766059258e-01,-1.226829269064461103e+00,-3.351609985119706758e-01,2.447335716094556801e+00
-4.672710651391909775e-01,1.263371094792261062e-01,8.210537584303502223e-01,-1.267308462339015396e+00,-3.403000035329993844e-01,2.478165915152511278e+00
-4.610042616965336348e-01,1.580220392880954949e-01,7.815013108176768197e-01,-1.280619355495284495e+00,-3.344806577665702108e-01,2.497648262150130360e+00
-4.382957453495633371e-01,1.816323976630980219e-01,7.526051236413648926e-01,-1.265607853487155765e+00,-3.200707063287507315e-01,2.501116033562589713e+00
-4.046794665812161185e-01,1.915414398086476289e-01,7.432731656413308352e-01,-1.216739053298234063e+00,-3.013572988576499467e-01,2.478189089414786217e+00
-3.665668935224880021e-01,1.852783570350610143e-01,7.576248785615332659e-01,-1.132348545277205742e+00,-2.837042462951947508e-01,2.422176512618930744e+00
-2.191412413499511103e-01,1.437707564720190900e-01,8.398310770117012325e-01,-6.991329547247834286e-01,-2.411962321298659340e-01,2.099296126359186498e+00
-5.252832838263969337e-05,1.232047784491706044e-01,8.861059802445672151e-01,-1.958430192569508670e-04,-2.239125960483095146e-01,1.570950807335937727e+00
2.190673785961088360e-01,1.437732338463389159e-01,8.398883659201905605e-01,6.987454864062202509e-01,-2.412167458661644837e-01,1.042630685777855337e+00
3.665329448490294295e-01,1.852780539996998488e-01,7.576983587943136866e-01,1.132032071845915144e+00,-2.837185709893159102e-01,7.197152714418499908e-01
3.984958284462979949e-01,2.065013997443541915e-01,7.234187684381536698e-01,1.222546694755971997e+00,-2.962148087384033901e-01,6.521287132505988460e-01
4.139168097240952249e-01,2.372388090797152016e-01,6.771905866249651185e-01,1.292118076719050546e+00,-3.003021420443673373e-01,5.922026834620420788e-01
4.112028433435631070e-01,2.690114163681324722e-01,6.295945962178495225e-01,1.338541017802986621e+00,-2.946833319237599502e-01,5.414127267431910751e-01
3.934399428238394281e-01,2.938905366880142922e-01,5.922636847831229678e-01,1.357408830193042037e+00,-2.810582260885342576e-01,5.073128487840165013e-01
3.656563870464503707e-01,3.056025576464113103e-01,5.764600567626120275e-01,1.336237778818877731e+00,-2.629743546625680217e-01,5.069871403015169253e-01
3.332769995056706902e-01,3.006282604795858515e-01,5.902600800016001292e-01,1.257143368238668346e+00,-2.456528373387809050e-01,5.627830230119347243e-01
1.999446135652940548e-01,2.597041301281283188e-01,6.895751860902045172e-01,7.469249170991082432e-01,-2.082265159976513513e-01,9.770760640216089588e-01
4.602181946639495418e-05,2.400404226543310371e-01,7.423515368052167052e-01,1.985012287594100852e-04,-1.969937967524576505e-01,1.570633589602903557e+00
-1.998570969748811321e-01,2.596980248117249923e-01,6.896671932822641127e-01,-7.463402912149345036e-01,-2.082564805104460959e-01,2.163993426972996126e+00
-3.332463321854695626e-01,3.006156216532072656e-01,5.903788268477213608e-01,-1.256648260933240335e+00,-2.456685978030722362e-01,2.578325858507430013e+00
-4.266441605481877120e-01,3.441161570261662694e-01,5.062336261911740687e-01,-1.511823202007023470e+00,-2.974920019650330594e-01,2.768921767588736760e+00
