q1,q2,q3,q4,q5,q6
1.554069358624358133e+00,-1.543359769434281548e+00,1.828709730713102166e+00,-3.426944449946336402e+00,-1.554067283714765546e+00,1.570796348631661399e+00
1.554082261308408208e+00,-1.157875562050496798e+00,2.141205348342015480e+00,-4.124922592500960050e+00,-1.554082115560375899e+00,1.570796329391245472e+00
1.554071338151601145e+00,-4.972830787293892052e-01,2.031633452691617325e+00,-4.675942583773224470e+00,-1.554069577957824189e+00,1.570796322910554155e+00
1.554081748023119935e+00,1.179131873697528698e-01,1.540328940011449932e+00,-4.799834597124041480e+00,-1.554081536430291566e+00,1.553395022633924594e+00
1.541160855500690596e+00,1.993764471209983624e-01,1.449012573745304344e+00,-4.789980507307631363e+00,-1.541160074158747673e+00,1.285248714301083117e+00
1.503446410196184191e+00,2.750742602216863508e-01,1.365111193237694698e+00,-4.781776710735556435e+00,-1.503445951371012557e+00,9.996640285789738511e-01
1.444347544835987707e+00,3.400802403851650446e-01,1.293409719312141881e+00,-4.775081073765744755e+00,-1.444347457519486122e+00,7.139988870038623814e-01
1.366385779844048853e+00,3.876782451545991437e-01,1.241699966442352254e+00,-4.770969433332346021e+00,-1.366386091263897651e+00,4.284095194504782267e-01
1.278296521757734450e+00,4.131367654526238997e-01,1.214573682911963326e+00,-4.769302056948630408e+00,-1.278297062664018213e+00,1.426751080664984406e-01
1.188209276197178310e+00,4.132104745737233964e-01,1.215683835714570282e+00,-4.770486476046340130e+00,-1.188209837819626635e+00,-1.426755335404372993e-01
1.105173315234805331e+00,3.878972432432183925e-01,1.244906136705203670e+00,-4.774396062234541382e+00,-1.105173758599675038e+00,-4.284097307254641218e-01
1.036649069577240123e+00,3.404555093693746870e-01,1.298630209473065733e+00,-4.780678740549461736e+00,-1.036649390366643830e+00,-7.139988139430296643e-01
9.848859643525561536e-01,2.755620156043994129e-01,1.371389344323354909e+00,-4.788544520919979952e+00,-9.848862067261850983e-01,-9.996637487849341364e-01
9.535200599058025750e-01,1.999781116583856377e-01,1.456085358809275920e+00,-4.797656685594843040e+00,-9.535202484124200017e-01,-1.285248325534301461e+00
9.429384079555742648e-01,1.185989779095620589e-01,1.547676766657102965e+00,-4.807868934260215887e+00,-9.429385152378889634e-01,-1.553394641922968500e+00
9.429281073093419563e-01,-4.975596795345047507e-01,2.039860839172426665e+00,-4.683892054137249517e+00,-9.429276480467227994e-01,-1.570797455553896826e+00
9.429247951093663316e-01,-1.162814357809822896e+00,2.149987493532542704e+00,-4.128762680720218015e+00,-9.429244246265597873e-01,-1.570798319939108012e+00
9.429367055091943950e-01,-1.550761175599840280e+00,1.836296579873597290e+00,-3.427128275171421379e+00,-9.429366691671379197e-01,-1.570796191401518715e+00
