q1,q2,q3,q4,q5,q6
-5.020664215087890625e+00,-1.071801900863647461e+00,1.244274139404296875e+00,-1.260047435760498047e+00,-9.250518083572387695e-01,-5.429580211639404297e+00
1.193422675132751465e+00,-1.049474596977233887e+00,1.199640274047851562e+00,-1.192116618156433105e+00,-9.597409367561340332e-01,-5.504451274871826172e+00
1.158274173736572266e+00,-9.370480775833129883e-01,1.000949025154113770e+00,5.266858100891113281e+00,-1.044676899909973145e+00,6.024879217147827148e-01
1.079982638359069824e+00,-9.348773360252380371e-01,9.961350560188293457e-01,5.275607585906982422e+00,5.224548816680908203e+00,5.974938869476318359e-01
1.004178881645202637e+00,5.358316421508789062e+00,9.788444638252258301e-01,5.287722110748291016e+00,5.212114334106445312e+00,5.961335301399230957e-01
-5.382707118988037109e+00,-9.878942966461181641e-01,1.093280315399169922e+00,-1.088885068893432617e+00,-1.009727716445922852e+00,-5.598926544189453125e+00
-5.364250659942626953e+00,-8.734428882598876953e-01,8.931454420089721680e-01,5.325541973114013672e+00,-1.071116447448730469e+00,5.772741436958312988e-01
-5.382670879364013672e+00,-8.703241944313049316e-01,8.915268182754516602e-01,5.299794197082519531e+00,5.242966651916503906e+00,-5.657811641693115234e+00
8.939976096153259277e-01,5.412199974060058594e+00,8.989855647087097168e-01,-1.018096685409545898e+00,-1.004884243011474609e+00,6.850182414054870605e-01
-5.386190891265869141e+00,-8.868931531906127930e-01,9.344991445541381836e-01,-1.079764246940612793e+00,-9.682163596153259277e-01,-5.523028373718261719e+00
8.834196925163269043e-01,-1.013563156127929688e+00,1.172095775604248047e+00,-1.325622439384460449e+00,5.403556823730468750e+00,-5.300565242767333984e+00
9.036306738853454590e-01,5.260160446166992188e+00,1.190582633018493652e+00,-1.348839759826660156e+00,-8.700919747352600098e-01,1.004080057144165039e+00
9.813571572303771973e-01,-9.936435222625732422e-01,1.132651686668395996e+00,5.014319419860839844e+00,-8.963319063186645508e-01,9.273420572280883789e-01
-5.219772338867187500e+00,-9.586691856384277344e-01,1.072058200836181641e+00,5.066956996917724609e+00,-9.169463515281677246e-01,-5.411799907684326172e+00
1.136424303054809570e+00,-9.514788985252380371e-01,1.055910229682922363e+00,-1.200594186782836914e+00,-9.185206294059753418e-01,8.682966232299804688e-01
-5.092823505401611328e+00,-1.030545115470886230e+00,1.205096244812011719e+00,4.923367500305175781e+00,-8.689571619033813477e-01,-5.274480819702148438e+00
-5.061284542083740234e+00,-9.823510050773620605e-01,1.119936943054199219e+00,4.988237380981445312e+00,-8.807539343833923340e-01,9.665794372558593750e-01
1.262357831001281738e+00,-8.617879748344421387e-01,9.041350483894348145e-01,-1.129652142524719238e+00,-9.250515699386596680e-01,8.533948063850402832e-01
1.273200988769531250e+00,-8.189673423767089844e-01,8.323875665664672852e-01,-1.108011484146118164e+00,-9.200180768966674805e-01,-5.417733192443847656e+00
-5.028867244720458984e+00,-8.792254328727722168e-01,9.566473960876464844e-01,-1.257976651191711426e+00,-8.695893883705139160e-01,1.004758119583129883e+00
-5.038067817687988281e+00,5.444753170013427734e+00,8.843442201614379883e-01,-1.221049904823303223e+00,-8.727712035179138184e-01,-5.288595199584960938e+00
1.228444576263427734e+00,-8.167648911476135254e-01,8.413535952568054199e-01,5.111565113067626953e+00,-8.821232318878173828e-01,-5.323267459869384766e+00
-5.103922367095947266e+00,-7.151045203208923340e-01,6.438983082771301270e-01,5.273706436157226562e+00,-9.311134815216064453e-01,-5.442878723144531250e+00
-5.182507038116455078e+00,-7.861074805259704590e-01,7.800885438919067383e-01,5.169047355651855469e+00,-9.029029011726379395e-01,-5.376086235046386719e+00
-5.237994670867919922e+00,-7.269449234008789062e-01,6.669270992279052734e-01,-1.023912906646728516e+00,-9.254139661788940430e-01,8.457580208778381348e-01
9.613612294197082520e-01,-8.313658833503723145e-01,8.708233833312988281e-01,-1.206642746925354004e+00,-8.745119571685791016e-01,9.845799207687377930e-01
-5.373166084289550781e+00,5.528651237487792969e+00,7.308816909790039062e-01,5.152184486389160156e+00,-8.932642340660095215e-01,-5.339678287506103516e+00
