q1,q2,q3,q4,q5,q6
5.366209487020735525e-01,1.251460845598691418e-01,8.170106835546443458e-01,1.364287814632900053e+00,-3.783040148189737994e-01,6.198817047495392973e-01
5.340278306857392243e-01,1.240702975501809108e-01,8.184562285837998497e-01,1.359346967653756399e+00,-3.772682541950555524e-01,6.228265436347417694e-01
5.263026823729691772e-01,1.207941957878970185e-01,8.228635905011884022e-01,1.344873662683065962e+00,-3.740674488585671309e-01,6.313682386303227645e-01
5.132847104284236073e-01,1.150789196982800189e-01,8.305715025784836669e-01,1.321149360410483586e+00,-3.683513093327066557e-01,6.451387949028355440e-01
4.949379328199288719e-01,1.066440923100106103e-01,8.420131821837917308e-01,1.288974405095139941e+00,-3.596207241193863369e-01,6.633773836115227640e-01
4.744451587708778395e-01,9.685811897735074893e-02,8.554279124958685809e-01,1.254142338261117651e+00,-3.491021121807632022e-01,6.827579770361028588e-01
4.539932323257599434e-01,8.699813595901685626e-02,8.691560957548706279e-01,1.219434674232893867e+00,-3.381414091827234514e-01,7.021342731923112535e-01
4.341501753856070178e-01,7.767548920892651532e-02,8.823938002327491592e-01,1.184578174975488229e+00,-3.275051951726360988e-01,7.221544723503354746e-01
4.154156000141722149e-01,6.934761633452835028e-02,8.944859397184978800e-01,1.149689392825571144e+00,-3.178306425872949870e-01,7.430275626691903446e-01
3.978532094159643595e-01,6.209167578573321356e-02,9.052709016263237318e-01,1.114784473348982674e+00,-3.093066272983093223e-01,7.647576929045155625e-01
3.813277460600879021e-01,5.579343514476635402e-02,9.148538168963286088e-01,1.079874299686303107e+00,-3.018641873559864686e-01,7.872241071443190075e-01
3.656567200703739751e-01,5.029051468573662864e-02,9.234201998646844878e-01,1.044960817907738315e+00,-2.953489192970616961e-01,8.102891010875455935e-01
3.506763297222642572e-01,4.543409465217656401e-02,9.311493745503904851e-01,1.010045457630765142e+00,-2.896045673668015130e-01,8.338328743693199652e-01
3.362549077204416981e-01,4.110325696181033744e-02,9.381909698880932513e-01,9.751291238764486780e-01,-2.844979551792177763e-01,8.577608709624825467e-01
3.222902394822225181e-01,3.720347560495623068e-02,9.446639425633864828e-01,9.402123740985167677e-01,-2.799218298912848901e-01,8.820005965535938630e-01
3.087034296639568076e-01,3.366141978248349959e-02,9.506616970110495224e-01,9.052955458559128754e-01,-2.757912137012907272e-01,9.064966229374965545e-01
2.954331900130970912e-01,3.041989562575402040e-02,9.562577657806583531e-01,8.703788535980019336e-01,-2.720387471067341467e-01,9.312062061305008687e-01
2.824313782337494194e-01,2.743386525019420388e-02,9.615105116275221020e-01,8.354622477344922915e-01,-2.686106938793928478e-01,9.560961553658154921e-01
2.696599852220004090e-01,2.466748684512371642e-02,9.664665929710518633e-01,8.005465962510853739e-01,-2.654637867741076462e-01,9.811395076732999376e-01
2.570850944509771585e-01,2.209118177430897251e-02,9.711649202578351847e-01,7.656239171976190194e-01,-2.625619667103209487e-01,1.006320775988616800e+00
2.446768442419878786e-01,1.968159792465029936e-02,9.756308967080925543e-01,7.307002626017303770e-01,-2.598737575003905453e-01,1.031614041025602280e+00
2.324068971238038295e-01,1.742082342465478204e-02,9.798799634774192358e-01,6.957801321576158049e-01,-2.573727760103336482e-01,1.056996107964142562e+00
2.202524551808392461e-01,1.529549102711166321e-02,9.839234191279465636e-01,6.608627168552405617e-01,-2.550392232487946886e-01,1.082452578413145350e+00
2.081960300126073360e-01,1.329565484495499016e-02,9.877692287877615218e-01,6.259474959080537637e-01,-2.528582044884975510e-01,1.107972312524264868e+00
1.962238403473685333e-01,1.141380331863080591e-02,9.914229550139236347e-01,5.910340496857480197e-01,-2.508183069241784469e-01,1.133546541024433418e+00
1.843247792599375656e-01,9.644225383068182403e-03,9.948883206075849195e-01,5.561220688174053350e-01,-2.489106684340358921e-01,1.159168169425873973e+00
1.724897220347327287e-01,7.982584947970357628e-03,9.981676007026945019e-01,5.212113065248401567e-01,-2.471283597417690270e-01,1.184831362922732501e+00
1.607110519318152020e-01,6.425628807928929556e-03,1.001261885019197884e+00,4.863015757364323455e-01,-2.454659571981370192e-01,1.210531233501729531e+00
1.489822990242098133e-01,4.970977229192990662e-03,1.004171266568965493e+00,4.513926796179832945e-01,-2.439192368582018544e-01,1.236263666263083261e+00
1.372979739776617469e-01,3.616982926166927362e-03,1.006894954723908553e+00,4.164846531866165935e-01,-2.424849633830980511e-01,1.262024976633008055e+00
1.256530798924999637e-01,2.362593441964426933e-03,1.009431424599953608e+00,3.815768554163819215e-01,-2.411606981396290927e-01,1.287812457712699032e+00
1.140438198155480087e-01,1.207354567388207274e-03,1.011778311170129285e+00,3.466705036664571860e-01,-2.399447669886451973e-01,1.313622416212088195e+00
1.024658356079615196e-01,1.511923995801223522e-04,1.013932773488831041e+00,3.117637335663578368e-01,-2.388360025590303970e-01,1.339453746531887424e+00
9.091179713978198018e-02,-8.058145601639180380e-04,1.015891900459052755e+00,2.768445853793084499e-01,-2.378334835878768150e-01,1.365313064683131516e+00
7.938023420501544303e-02,-1.662504606009400409e-03,1.017650781006453675e+00,2.419174778470032094e-01,-2.369374996363515506e-01,1.391195151969913280e+00
6.787132495619750683e-02,-2.417415189274252536e-03,1.019203948502067414e+00,2.069914560579916574e-01,-2.361486765695404721e-01,1.417091442203310514e+00
5.638353983123068486e-02,-3.068903338523553802e-03,1.020545771894301179e+00,1.720697536551908380e-01,-2.354679035192915604e-01,1.442997815767308012e+00
4.491366461504100321e-02,-3.615148099799027435e-03,1.021670457934973131e+00,1.371498713236730949e-01,-2.348963293243209738e-01,1.468914539563096033e+00
3.345868143986713977e-02,-4.053990219861581569e-03,1.022571445851177208e+00,1.022296371076162336e-01,-2.344354273555326884e-01,1.494841698011436959e+00
2.201667781669097018e-02,-4.381905298488877019e-03,1.023239035356696913e+00,6.730923399352899128e-02,-2.340879649987940292e-01,1.520777854317984179e+00
1.058600830670428442e-02,-4.595062478435336939e-03,1.023662849179616918e+00,3.238943490642681028e-02,-2.338570106101966750e-01,1.546721183651547316e+00
-8.355047894170866468e-04,-4.690975032462600322e-03,1.023836418645600377e+00,-2.529503412948317254e-03,-2.337446667248704590e-01,1.572669990032681930e+00
-1.225064519155441740e-02,-4.668686630845091459e-03,1.023757725325163070e+00,-3.744791194075815233e-02,-2.337519362148720581e-01,1.598622724190219557e+00
-2.366235486158204532e-02,-4.527802307746074326e-03,1.023426356403810189e+00,-7.236609151202774703e-02,-2.338794086888342783e-01,1.624577697340888305e+00
-3.507424335076897437e-02,-4.270474674518489472e-03,1.022849164527690702e+00,-1.072840122777489469e-01,-2.341257904769611653e-01,1.650532435015702459e+00
-4.649014890141617284e-02,-3.899683975697983487e-03,1.022035372299798794e+00,-1.422015551503324760e-01,-2.344891797655435095e-01,1.676484216999883703e+00
-5.791424938311117571e-02,-3.417601735703988761e-03,1.020992345242788701e+00,-1.771195555152717815e-01,-2.349684443431735159e-01,1.702431016153866050e+00
-6.935119971883028922e-02,-2.825262256660298309e-03,1.019724837020592023e+00,-2.120401901210666462e-01,-2.355635340480499162e-01,1.728371779513754536e+00
-8.080539211831894164e-02,-2.123569258768442502e-03,1.018237370801476693e+00,-2.469646083986960505e-01,-2.362745498919935072e-01,1.754304641247085073e+00
-9.227940201438755707e-02,-1.313150910529995059e-03,1.016534259360399650e+00,-2.818870947218806156e-01,-2.371020189572740633e-01,1.780222343325578382e+00
-1.037752118202049240e-01,-3.945154448110883122e-04,1.014619706629742213e+00,-3.167996032243233229e-01,-2.380466470380800115e-01,1.806115781410829069e+00
-1.152984297747154524e-01,6.324819645960056682e-04,1.012496725165571876e+00,-3.517042032694030484e-01,-2.391098794047359921e-01,1.831983154036264994e+00
-1.268577470542102958e-01,1.768830594404127796e-03,1.010166890449701649e+00,-3.866107100914693562e-01,-2.402941583715590135e-01,1.857828044940472045e+00
-1.384585923289615716e-01,3.015676181423328304e-03,1.007631783609542309e+00,-4.215175332384314411e-01,-2.416022182365744342e-01,1.883645245151938541e+00
-1.501076365749667019e-01,4.374789934023027779e-03,1.004892110784536108e+00,-4.564248416359096838e-01,-2.430376060574827302e-01,1.909430402294895579e+00
-1.618123700870494897e-01,5.848592779432055036e-03,1.001947748457785670e+00,-4.913328462220069581e-01,-2.446047442834075325e-01,1.935178650444857595e+00
-1.735812201395006416e-01,7.440254818478901286e-03,9.987976620538423500e-01,-5.262415771199095982e-01,-2.463090825968348996e-01,1.960884315622468010e+00
-1.854239039479481377e-01,9.153847520906107857e-03,9.954397533224631500e-01,-5.611511931708274004e-01,-2.481573192861774024e-01,1.986540975535331599e+00
-1.973517100522148016e-01,1.099452979386405897e-02,9.918706881852813462e-01,-5.960618404322285402e-01,-2.501576774956388305e-01,2.012141132750769223e+00
-2.093779655581665955e-01,1.296881086735156112e-02,9.880856414100052110e-01,-6.309737174189029574e-01,-2.523202909996298260e-01,2.037675961531677515e+00
-2.215186338767560492e-01,1.508490625026894134e-02,9.840779508774799567e-01,-6.658870596270871633e-01,-2.546577258879049177e-01,2.063134888535215872e+00
-2.337932208368726783e-01,1.735326001744542240e-02,9.798386082154637577e-01,-7.008022079837858964e-01,-2.571857473593744947e-01,2.088505045880630906e+00
-2.462259018491750329e-01,1.978724384725574770e-02,9.753555734297338908e-01,-7.357194791697378999e-01,-2.599243371856624352e-01,2.113770383457528101e+00
-2.588479748946942993e-01,2.240445623787725923e-02,9.706125188900105449e-01,-7.706398328053343239e-01,-2.628996245519219510e-01,2.138910653422888331e+00
-2.716959028567987877e-01,2.522690059101403287e-02,9.655886837963169045e-01,-8.055584144580295591e-01,-2.661439805804872161e-01,2.163896503523628834e+00
-2.847983125694873441e-01,2.827534373455165354e-02,9.602610192154963364e-01,-8.404735003718951658e-01,-2.696850485943659836e-01,2.188706870889935541e+00
-2.981755801140411610e-01,3.156859760958254796e-02,9.546048244015816753e-01,-8.753903520735203392e-01,-2.735443002754491815e-01,2.213332971877039590e+00
-3.118488153236882443e-01,3.512824977035171325e-02,9.485922330807148306e-01,-9.103085292310291177e-01,-2.777457165892230351e-01,2.237759997567788872e+00
-3.258425578703929570e-01,3.898000183130131274e-02,9.421902612703508817e-01,-9.452284103678856297e-01,-2.823167644207499882e-01,2.261971562850503048e+00
-3.401852574652721173e-01,4.315490244295022704e-02,9.353594823941697722e-01,-9.801504367676506790e-01,-2.872890008269468054e-01,2.285948626944013018e+00
-3.549100326934190308e-01,4.769125137590461000e-02,9.280519531908633102e-01,-1.015075249187525230e+00,-2.926986313524252425e-01,2.309669064559976004e+00
-3.700551529609988899e-01,5.263740759850541601e-02,9.202083796639702884e-01,-1.050003856080632403e+00,-2.985864744793429448e-01,2.333107411091138506e+00
-3.856631603173159006e-01,5.805623555270947311e-02,9.117542053257284840e-01,-1.084937990284757348e+00,-3.049956392408361694e-01,2.356235600811399156e+00
-4.017736410202946140e-01,6.403200673545654531e-02,9.025956000386077260e-01,-1.119881129891396432e+00,-3.119597716151877864e-01,2.379028330684183512e+00
-4.183830151460175562e-01,7.067869070147529686e-02,8.926257900641970666e-01,-1.154843372306930682e+00,-3.194446886325965074e-01,2.401493260948193598e+00
-4.340279851733511718e-01,7.764916592590391520e-02,8.825114566043749109e-01,-1.187180109022324181e+00,-3.265822541088579389e-01,2.422061932196947431e+00
-4.455321986469990558e-01,8.438773694222148625e-02,8.733725507269591848e-01,-1.210568258329874025e+00,-3.318024005141024801e-01,2.436800431221886054e+00
-4.528173045106360650e-01,9.357821298594513892e-02,8.620512661568049406e-01,-1.225752473731021697e+00,-3.349693055139624787e-01,2.446594083082161308e+00
