q1,q2,q3,q4,q5,q6
8.136108517646789551e-01,-9.526683092117309570e-01,1.452010631561279297e+00,-2.072778224945068359e+00,-1.567183375358581543e+00,2.385690927505493164e+00
8.136107625295287971e-01,-9.526682157396643147e-01,1.452010491913352963e+00,-2.072778232286086375e+00,-1.567183302125927380e+00,2.385690864289904844e+00
8.136105367511177189e-01,-9.526679792397713120e-01,1.452010138414230322e+00,-2.072778250251440912e+00,-1.567183117440056339e+00,2.385690704130378759e+00
8.136102373200043703e-01,-9.526676655865126131e-01,1.452009669230896582e+00,-2.072778272754582485e+00,-1.567182873819105149e+00,2.385690491257771662e+00
8.136099271267474009e-01,-9.526673406543487710e-01,1.452009182530337172e+00,-2.072778293708960717e+00,-1.567182623781210760e+00,2.385690269902941640e+00
8.136096690619057936e-01,-9.526670703177400057e-01,1.452008776479536856e+00,-2.072778307028027012e+00,-1.567182419844510122e+00,2.385690084296745894e+00
8.136095260160383091e-01,-9.526669204511473144e-01,1.452008549245481284e+00,-2.072778306625231437e+00,-1.567182314527139964e+00,2.385689978670042066e+00
8.136095608797034862e-01,-9.526669569290309170e-01,1.452008598995154776e+00,-2.072778286414024063e+00,-1.567182360347237013e+00,2.385689997253687356e+00
8.136098365434605295e-01,-9.526672456258515886e-01,1.452009023895543205e+00,-2.072778240307855402e+00,-1.567182609822938666e+00,2.385690184278539405e+00
8.136104158978678669e-01,-9.526678524160695494e-01,1.452009922113631113e+00,-2.072778162220176856e+00,-1.567183115472381205e+00,2.385690583975456303e+00
8.136113618334843700e-01,-9.526688431741457963e-01,1.452011391816403929e+00,-2.072778046064438051e+00,-1.567183929813702026e+00,2.385691240575294358e+00
8.136127372408686886e-01,-9.526702837745403274e-01,1.452013531170846861e+00,-2.072777885754089056e+00,-1.567185105365037634e+00,2.385692198308912104e+00
8.136146050105799166e-01,-9.526722400917141398e-01,1.452016438343944893e+00,-2.072777675202580827e+00,-1.567186694644524980e+00,2.385693501407165851e+00
8.136170280331764815e-01,-9.526747780001275645e-01,1.452020211502683233e+00,-2.072777408323363879e+00,-1.567188750170301237e+00,2.385695194100914573e+00
8.136200691992174772e-01,-9.526779633742411546e-01,1.452024948814046867e+00,-2.072777079029888281e+00,-1.567191324460502688e+00,2.385697320621014139e+00
8.136237913992614423e-01,-9.526818620885153521e-01,1.452030748445021002e+00,-2.072776681235604546e+00,-1.567194470033266729e+00,2.385699925198323967e+00
8.136282575238671377e-01,-9.526865400174108212e-01,1.452037708562590845e+00,-2.072776208853963631e+00,-1.567198239406730087e+00,2.385703052063699481e+00
8.136335304635935461e-01,-9.526920630353882258e-01,1.452045927333741382e+00,-2.072775655798415162e+00,-1.567202685099029491e+00,2.385706745448000099e+00
8.136396731089992063e-01,-9.526984970169078970e-01,1.452055502925457597e+00,-2.072775015982409652e+00,-1.567207859628302113e+00,2.385711049582081689e+00
8.136467483506431009e-01,-9.527059078364303879e-01,1.452066533504725143e+00,-2.072774283319398059e+00,-1.567213815512684683e+00,2.385716008696802337e+00
8.136548190790838797e-01,-9.527143613684163626e-01,1.452079117238528783e+00,-2.072773451722830007e+00,-1.567220605270313705e+00,2.385721667023019688e+00
8.136639466605397608e-01,-9.527239218910029672e-01,1.452093349954213464e+00,-2.072772515396927417e+00,-1.567228280004260954e+00,2.385728067770024552e+00
8.136741678346445239e-01,-9.527346278928207068e-01,1.452109289680914017e+00,-2.072771473243468332e+00,-1.567236867956412816e+00,2.385735237643124229e+00
8.136854994083947412e-01,-9.527464969885997004e-01,1.452126963854079911e+00,-2.072770327966411141e+00,-1.567246378864924239e+00,2.385743189989381730e+00
8.136979576164158345e-01,-9.527595461936703147e-01,1.452146399030652679e+00,-2.072769082378896233e+00,-1.567256821936610534e+00,2.385751937772274012e+00
8.137115586933335587e-01,-9.527737925233626948e-01,1.452167621767575190e+00,-2.072767739294063105e+00,-1.567268206378288120e+00,2.385761493955278034e+00
8.137263188737731134e-01,-9.527892529930070964e-01,1.452190658621790531e+00,-2.072766301525051702e+00,-1.567280541396770976e+00,2.385771871501872976e+00
8.137422543923603646e-01,-9.528059446179338865e-01,1.452215536150240682e+00,-2.072764771885001522e+00,-1.567293836198875301e+00,2.385783083375534463e+00
8.137593814837205120e-01,-9.528238844134733210e-01,1.452242280909868288e+00,-2.072763153187052065e+00,-1.567308099991416626e+00,2.385795142539739899e+00
8.137777163824791993e-01,-9.528430893949555447e-01,1.452270919457616216e+00,-2.072761448244343718e+00,-1.567323341981210039e+00,2.385808061957967574e+00
8.137972753216510258e-01,-9.528635765760237186e-01,1.452301478347939323e+00,-2.072759659870269999e+00,-1.567339571373629337e+00,2.385821854592595770e+00
8.138180717204775982e-01,-9.528853600234202803e-01,1.452333979790409346e+00,-2.072757791320848586e+00,-1.567356794855331081e+00,2.385836531487131928e+00
8.138401104007223497e-01,-9.529084447996373219e-01,1.452368432718818214e+00,-2.072755847204544200e+00,-1.567375011417040609e+00,2.385852097821975715e+00
8.138633945478095377e-01,-9.529328342534076901e-01,1.452404843540205492e+00,-2.072753832387226325e+00,-1.567394218584731824e+00,2.385868557661613654e+00
8.138879273471633091e-01,-9.529585317334638983e-01,1.452443218661611413e+00,-2.072751751734766668e+00,-1.567414413884378410e+00,2.385885915070531826e+00
8.139137119842075885e-01,-9.529855405885387931e-01,1.452483564490075540e+00,-2.072749610113034713e+00,-1.567435594841954716e+00,2.385904174113217202e+00
8.139407516443664115e-01,-9.530138641673647770e-01,1.452525887432638552e+00,-2.072747412387902166e+00,-1.567457758983435312e+00,2.385923338854156306e+00
8.139690495130639247e-01,-9.530435058186749187e-01,1.452570193896339790e+00,-2.072745163425239845e+00,-1.567480903834793438e+00,2.385943413357836551e+00
8.139986087757241640e-01,-9.530744688912016205e-01,1.452616490288219930e+00,-2.072742868090918122e+00,-1.567505026922004108e+00,2.385964401688743575e+00
8.140294326097812228e-01,-9.531067567254094541e-01,1.452664783012800331e+00,-2.072740531287375898e+00,-1.567530125728865853e+00,2.385986307918359639e+00
8.140615240395644436e-01,-9.531403725033200658e-01,1.452715078426351392e+00,-2.072738158617798199e+00,-1.567556196930984136e+00,2.386009136252218443e+00
8.140948859516111691e-01,-9.531753192643610539e-01,1.452767382841716470e+00,-2.072735756316023803e+00,-1.567583236476607356e+00,2.386032891016496738e+00
8.141295212275426740e-01,-9.532116000428715319e-01,1.452821702570189499e+00,-2.072733330638394822e+00,-1.567611240288032448e+00,2.386057576541676273e+00
8.141654327489802334e-01,-9.532492178731911681e-01,1.452878043923064411e+00,-2.072730887841253811e+00,-1.567640204287556127e+00,2.386083197158239244e+00
8.142026233975447891e-01,-9.532881757896589647e-01,1.452936413211636246e+00,-2.072728434180941992e+00,-1.567670124397475551e+00,2.386109757196666070e+00
8.142410960548578380e-01,-9.533284768266149234e-01,1.452996816747198716e+00,-2.072725975913800589e+00,-1.567700996540087210e+00,2.386137260987439834e+00
8.142808536025402111e-01,-9.533701240183979353e-01,1.453059260841045752e+00,-2.072723519296171713e+00,-1.567732816637687598e+00,2.386165712861040067e+00
8.143218987863422020e-01,-9.534131202571338726e-01,1.453123751607686032e+00,-2.072721070652869368e+00,-1.567765580444194784e+00,2.386195117071904015e+00
8.143642313216659101e-01,-9.534574652631341296e-01,1.453190290772690352e+00,-2.072718637835828659e+00,-1.567799279958157710e+00,2.386225476178413185e+00
8.144078479452550035e-01,-9.535031556390001217e-01,1.453258875747556633e+00,-2.072716230198062615e+00,-1.567833903486810954e+00,2.386256791071820871e+00
8.144527452683211211e-01,-9.535501878559401456e-01,1.453329503761970010e+00,-2.072713857155842998e+00,-1.567869439181823976e+00,2.386289062573125452e+00
8.144989199020757908e-01,-9.535985583851626091e-01,1.453402172045616503e+00,-2.072711528125443792e+00,-1.567905875194865795e+00,2.386322291503323090e+00
8.145463684577305408e-01,-9.536482636978759198e-01,1.453476877828181468e+00,-2.072709252523136314e+00,-1.567943199677605426e+00,2.386356478683410831e+00
8.145950875464967877e-01,-9.536993002652888185e-01,1.453553618339351150e+00,-2.072707039765194104e+00,-1.567981400781711665e+00,2.386391624934385280e+00
8.146450737795859487e-01,-9.537516645586097130e-01,1.453632390808810460e+00,-2.072704899267889811e+00,-1.568020466658853973e+00,2.386427731077241265e+00
8.146963237682097736e-01,-9.538053530490471221e-01,1.453713192466245641e+00,-2.072702840447496087e+00,-1.568060385460701145e+00,2.386464797932978055e+00
8.147488341235797904e-01,-9.538603622078094535e-01,1.453796020541342049e+00,-2.072700872720286469e+00,-1.568101145338921976e+00,2.386502826322590032e+00
8.148026014569074160e-01,-9.539166885061052259e-01,1.453880872263785484e+00,-2.072699005502532721e+00,-1.568142734445185926e+00,2.386541817067075577e+00
8.148576223794041784e-01,-9.539743284151428471e-01,1.453967744863261524e+00,-2.072697248210508381e+00,-1.568185140931162014e+00,2.386581770987429518e+00
8.149138935022816055e-01,-9.540332784061309468e-01,1.454056635569455525e+00,-2.072695610260486543e+00,-1.568228352948519033e+00,2.386622688904649792e+00
8.149714114367512252e-01,-9.540935349502779328e-01,1.454147541612053507e+00,-2.072694101068738526e+00,-1.568272358648926001e+00,2.386664571639733001e+00
8.150301727940245655e-01,-9.541550945187923238e-01,1.454240460220741271e+00,-2.072692730051538312e+00,-1.568317146184052380e+00,2.386707420013674863e+00
8.150901740561761200e-01,-9.542179534482139180e-01,1.454335388477897117e+00,-2.072691506832523789e+00,-1.568362703404490244e+00,2.386751234825309709e+00
8.151514096647628493e-01,-9.542821059471624512e-01,1.454432321138270812e+00,-2.072690444311943381e+00,-1.568409013403482044e+00,2.386796016523265784e+00
8.152138724332801401e-01,-9.543475445264593127e-01,1.454531251099474343e+00,-2.072689558004347177e+00,-1.568456055478532063e+00,2.386841765276756622e+00
8.152775551298969692e-01,-9.544142616496583686e-01,1.454632171207416391e+00,-2.072688863497067047e+00,-1.568503808821472001e+00,2.386888481247216198e+00
8.153424505227829799e-01,-9.544822497803141514e-01,1.454735074308004972e+00,-2.072688376377437081e+00,-1.568552252624132004e+00,2.386936164596077603e+00
8.154085513801075935e-01,-9.545515013819805272e-01,1.454839953247148987e+00,-2.072688112232787816e+00,-1.568601366078343773e+00,2.386984815484774813e+00
8.154758504700398980e-01,-9.546220089182118063e-01,1.454946800870757118e+00,-2.072688086650454675e+00,-1.568651128375937898e+00,2.387034434074741807e+00
8.155443405607496477e-01,-9.546937648525622988e-01,1.455055610024737156e+00,-2.072688315217767308e+00,-1.568701518708745635e+00,2.387085020527412560e+00
8.156140144204059306e-01,-9.547667616485860931e-01,1.455166373554998449e+00,-2.072688813522060691e+00,-1.568752516268598241e+00,2.387136575004220163e+00
8.156848648171785010e-01,-9.548409917698371663e-01,1.455279084307449011e+00,-2.072689597150665364e+00,-1.568804100247325639e+00,2.387189097666598592e+00
8.157568845192363360e-01,-9.549164476798700507e-01,1.455393735127997079e+00,-2.072690681690915859e+00,-1.568856249836759975e+00,2.387242588675981381e+00
8.158300662947489679e-01,-9.549931218422388346e-01,1.455510318862551999e+00,-2.072692082730143603e+00,-1.568908944228731839e+00,2.387297048193803395e+00
8.159044029118859287e-01,-9.550710067204977172e-01,1.455628828357022009e+00,-2.072693815855681354e+00,-1.568962162615072042e+00,2.387352476381497279e+00
8.159798871388165287e-01,-9.551500947782006756e-01,1.455749256457315122e+00,-2.072695896654862313e+00,-1.569015884187612064e+00,2.387408873400496567e+00
8.160565111459261445e-01,-9.552303778529325218e-01,1.455871595358470438e+00,-2.072698341803945077e+00,-1.569070086613920445e+00,2.387466239356029973e+00
8.161342642157238814e-01,-9.553118447582386041e-01,1.455995834111194709e+00,-2.072701173239760220e+00,-1.569124740197903822e+00,2.387524574081792306e+00
8.162131347598002851e-01,-9.553944833956818927e-01,1.456121960817934768e+00,-2.072704414485609270e+00,-1.569179813022752112e+00,2.387583877329592763e+00
8.162931111895663783e-01,-9.554782816666368417e-01,1.456249963580942497e+00,-2.072708089065119719e+00,-1.569235273171198264e+00,2.387644148851221892e+00
8.163741819164328506e-01,-9.555632274724781272e-01,1.456379830502468886e+00,-2.072712220501920388e+00,-1.569291088725974559e+00,2.387705388398472017e+00
8.164563353518106137e-01,-9.556493087145806475e-01,1.456511549684765372e+00,-2.072716832319638769e+00,-1.569347227769813502e+00,2.387767595723133685e+00
8.165395599071105792e-01,-9.557365132943190789e-01,1.456645109230083390e+00,-2.072721948041904128e+00,-1.569403658385447375e+00,2.387830770576999218e+00
8.166238439937434368e-01,-9.558248291130678753e-01,1.456780497240673711e+00,-2.072727591192343954e+00,-1.569460348655608906e+00,2.387894912711858719e+00
8.167091760231200981e-01,-9.559142440722020462e-01,1.456917701818788435e+00,-2.072733785294585740e+00,-1.569517266663030597e+00,2.387960021879505401e+00
8.167955444066515858e-01,-9.560047460730961566e-01,1.457056711066678778e+00,-2.072740553872259195e+00,-1.569574380490444510e+00,2.388026097831728922e+00
8.168829375557484784e-01,-9.560963230171248828e-01,1.457197513086595286e+00,-2.072747920448990921e+00,-1.569631658220583370e+00,2.388093140320322050e+00
8.169713438818217988e-01,-9.561889628056630119e-01,1.457340095980790062e+00,-2.072755908548409742e+00,-1.569689067936179461e+00,2.388161149097075331e+00
8.170607518443847583e-01,-9.562826533931230166e-01,1.457484448086232343e+00,-2.072764542257306442e+00,-1.569746577197875803e+00,2.388230124147387112e+00
8.171511511354975221e-01,-9.563773840929271630e-01,1.457630563754156450e+00,-2.072773860092584464e+00,-1.569804140188602037e+00,2.388300071442433836e+00
8.172425327542371942e-01,-9.564731456596196058e-01,1.457778443713448446e+00,-2.072783915873134486e+00,-1.569861696905290982e+00,2.388371003300834960e+00
8.173348877626940290e-01,-9.565699289172218123e-01,1.457928089000465333e+00,-2.072794764155572178e+00,-1.569919186660952315e+00,2.388442932347227821e+00
8.174282072229581697e-01,-9.566677246897558051e-01,1.458079500651564997e+00,-2.072806459496512321e+00,-1.569976548768597713e+00,2.388515871206247532e+00
8.175224821971197597e-01,-9.567665238012433848e-01,1.458232679703105994e+00,-2.072819056452569697e+00,-1.570033722541237298e+00,2.388589832502531429e+00
8.176177037472689424e-01,-9.568663170757061298e-01,1.458387627191445990e+00,-2.072832609580360419e+00,-1.570090647291881858e+00,2.388664828860715961e+00
8.177138629354956390e-01,-9.569670953371663957e-01,1.458544344152942651e+00,-2.072847173436498380e+00,-1.570147262333541960e+00,2.388740872905435797e+00
8.178109508238903258e-01,-9.570688494096454280e-01,1.458702831623954532e+00,-2.072862802577599695e+00,-1.570203506979228170e+00,2.388817977261328718e+00
8.179089584745428132e-01,-9.571715701171653601e-01,1.458863090640838633e+00,-2.072879551560279143e+00,-1.570259320541951720e+00,2.388896154553031170e+00
8.180078769495432445e-01,-9.572752482837477706e-01,1.459025122239953509e+00,-2.072897474941152396e+00,-1.570314642334722510e+00,2.388975417405178270e+00
8.181076970516445446e-01,-9.573798744608030820e-01,1.459188927041549011e+00,-2.072916627266438550e+00,-1.570369411488424793e+00,2.389055778247779482e+00
8.182083796660079011e-01,-9.574854077508105910e-01,1.459354457662951576e+00,-2.072937061883128429e+00,-1.570423546123456582e+00,2.389137227058200530e+00
8.183098283436991416e-01,-9.575917469874942745e-01,1.459521574728647630e+00,-2.072958829840008566e+00,-1.570476924095707050e+00,2.389219710785549289e+00
8.184119401547120809e-01,-9.576987841917702360e-01,1.459690128464211867e+00,-2.072981981926078632e+00,-1.570529418709545544e+00,2.389303171514998603e+00
8.185146121690402010e-01,-9.578064113845553562e-01,1.459859969095218757e+00,-2.073006568930333859e+00,-1.570580903269342743e+00,2.389387551331722648e+00
8.186177414566770949e-01,-9.579145205867658497e-01,1.460030946847243216e+00,-2.073032641641771701e+00,-1.570631251079468660e+00,2.389472792320893824e+00
8.187212250876165776e-01,-9.580230038193178199e-01,1.460202911945858828e+00,-2.073060250849390496e+00,-1.570680335444293085e+00,2.389558836567686750e+00
8.188249601318519089e-01,-9.581317531031279255e-01,1.460375714616640508e+00,-2.073089447342186808e+00,-1.570728029668186254e+00,2.389645626157274272e+00
8.189288436593769038e-01,-9.582406604591124921e-01,1.460549205085162283e+00,-2.073120281909158535e+00,-1.570774207055518401e+00,2.389733103174828788e+00
8.190327727401851554e-01,-9.583496179081877342e-01,1.460723233576999069e+00,-2.073152805339302684e+00,-1.570818740910659317e+00,2.389821209705525362e+00
