q1,q2,q3,q4,q5,q6
1.611013361877033256e+00,-1.531322402226361179e+00,2.176874468348350522e+00,-3.001342556842548248e+00,-1.599229983316794446e+00,-3.113147256452433176e+00
1.611012233913513336e+00,-1.531322786956601512e+00,2.176874880663051126e+00,-3.001342610629932128e+00,-1.599229186842209494e+00,-3.113148056075016878e+00
1.611008854216234409e+00,-1.531323939381209032e+00,2.176876115598201711e+00,-3.001342771407601528e+00,-1.599226800369510260e+00,-3.113150451951592679e+00
1.611003229075117282e+00,-1.531325856851011968e+00,2.176878170140373658e+00,-3.001343038298831534e+00,-1.599222828325280732e+00,-3.113154439595400280e+00
1.610995364780083206e+00,-1.531328536716839661e+00,2.176881041276137463e+00,-3.001343410426898561e+00,-1.599217275136104899e+00,-3.113160014519678498e+00
1.610985267621053207e+00,-1.531331976329520561e+00,2.176884725992065839e+00,-3.001343886915077697e+00,-1.599210145228566748e+00,-3.113167172237665703e+00
1.610972943887948317e+00,-1.531336173039884230e+00,2.176889221274730168e+00,-3.001344466886645801e+00,-1.599201443029250269e+00,-3.113175908262600267e+00
1.610958399870689561e+00,-1.531341124198758896e+00,2.176894524110701390e+00,-3.001345149464877959e+00,-1.599191172964739005e+00,-3.113186218107721448e+00
1.610941641859198192e+00,-1.531346827156973678e+00,2.176900631486551774e+00,-3.001345933773050145e+00,-1.599179339461617166e+00,-3.113198097286267618e+00
1.610922676143395238e+00,-1.531353279265357692e+00,2.176907540388852258e+00,-3.001346818934438776e+00,-1.599165946946468297e+00,-3.113211541311478037e+00
1.610901509013201283e+00,-1.531360477874739612e+00,2.176915247804174669e+00,-3.001347804072318937e+00,-1.599150999845876830e+00,-3.113226545696591074e+00
1.610878146758538243e+00,-1.531368420335948111e+00,2.176923750719090389e+00,-3.001348888309966156e+00,-1.599134502586426532e+00,-3.113243105954845547e+00
1.610852595669326481e+00,-1.531377103999812528e+00,2.176933046120171245e+00,-3.001350070770657297e+00,-1.599116459594701167e+00,-3.113261217599480268e+00
1.610824862035487470e+00,-1.531386526217161315e+00,2.176943130993988618e+00,-3.001351350577667887e+00,-1.599096875297284504e+00,-3.113280876143734055e+00
1.610794952146942016e+00,-1.531396684338823810e+00,2.176954002327114335e+00,-3.001352726854273456e+00,-1.599075754120760751e+00,-3.113302077100844834e+00
1.610762872293611148e+00,-1.531407575715628466e+00,2.176965657106119334e+00,-3.001354198723749533e+00,-1.599053100491713897e+00,-3.113324815984052751e+00
