q1,q2,q3,q4,q5,q6
1.554158806800842285e+00,-1.543327808380126953e+00,1.828857541084289551e+00,2.855391025543212891e+00,4.735607624053955078e+00,1.565198183059692383e+00
1.554158818723830215e+00,-1.543327113677326778e+00,1.828859246677891015e+00,2.855388464669212922e+00,4.735607415880735083e+00,1.565198146367070997e+00
1.554158854395536471e+00,-1.543325030410110266e+00,1.828864354958784633e+00,2.855380792683820612e+00,4.735606792934093257e+00,1.565198036656907155e+00
1.554158913670074416e+00,-1.543321559840254764e+00,1.828872853177104796e+00,2.855368025541948018e+00,4.735605757573549290e+00,1.565197854480752104e+00
1.554158996401557635e+00,-1.543316703229537179e+00,1.828884728582986341e+00,2.855350179198507199e+00,4.735604312158626428e+00,1.565197600390156207e+00
1.554159102444099938e+00,-1.543310461839733749e+00,1.828899968426562550e+00,2.855327269608409324e+00,4.735602459048847912e+00,1.565197274936670935e+00
1.554159231651814466e+00,-1.543302836932622046e+00,1.828918559957968482e+00,2.855299312726567784e+00,4.735600200603735210e+00,1.565196878671846425e+00
1.554159383878815026e+00,-1.543293829769978753e+00,1.828940490427338306e+00,2.855266324507893749e+00,4.735597539182811566e+00,1.565196412147234151e+00
1.554159558979215205e+00,-1.543283441613580331e+00,1.828965747084806193e+00,2.855228320907299278e+00,4.735594477145598447e+00,1.565195875914384915e+00
1.554159756807128590e+00,-1.543271673725203907e+00,1.828994317180506757e+00,2.855185317879695983e+00,4.735591016851620871e+00,1.565195270524848858e+00
1.554159977216668542e+00,-1.543258527366626609e+00,1.829026187964573724e+00,2.855137331379995924e+00,4.735587160660397643e+00,1.565194596530177673e+00
1.554160220061948650e+00,-1.543244003799624897e+00,1.829061346687141931e+00,2.855084377363112047e+00,4.735582910931454670e+00,1.565193854481921942e+00
1.554160485197082497e+00,-1.543228104285975899e+00,1.829099780598345548e+00,2.855026471783955078e+00,4.735578270024312530e+00,1.565193044931632249e+00
1.554160772476183672e+00,-1.543210830087456520e+00,1.829141476948318967e+00,2.854963630597437074e+00,4.735573240298493580e+00,1.565192168430859843e+00
1.554161081753365536e+00,-1.543192182465842999e+00,1.829186422987196137e+00,2.854895869758470983e+00,4.735567824113521063e+00,1.565191225531155528e+00
1.554161412882741899e+00,-1.543172162682913129e+00,1.829234605965111671e+00,2.854823205221967530e+00,4.735562023828917333e+00,1.565190216784069888e+00
1.554161765718426125e+00,-1.543150772000443149e+00,1.829286013132199740e+00,2.854745652942839662e+00,4.735555841804204746e+00,1.565189142741153949e+00
1.554162140114531798e+00,-1.543128011680210188e+00,1.829340631738594736e+00,2.854663228875998549e+00,4.735549280398905658e+00,1.565188003953958518e+00
1.554162535925172728e+00,-1.543103882983990927e+00,1.829398449034430829e+00,2.854575948976357136e+00,4.735542341972541536e+00,1.565186800974034842e+00
1.554162953004462278e+00,-1.543078387173562271e+00,1.829459452269842634e+00,2.854483829198826150e+00,4.735535028884637399e+00,1.565185534352933061e+00
1.554163391206513589e+00,-1.543051525510701127e+00,1.829523628694964099e+00,2.854386885498318094e+00,4.735527343494713826e+00,1.565184204642204424e+00
1.554163850385440915e+00,-1.543023299257184622e+00,1.829590965559929616e+00,2.854285133829745469e+00,4.735519288162293172e+00,1.565182812393399736e+00
1.554164330395357174e+00,-1.542993709674788994e+00,1.829661450114873800e+00,2.854178590148019889e+00,4.735510865246898682e+00,1.565181358158070246e+00
1.554164831090376619e+00,-1.542962758025291814e+00,1.829735069609930376e+00,2.854067270408052970e+00,4.735502077108053598e+00,1.565179842487766093e+00
1.554165352324612170e+00,-1.542930445570469322e+00,1.829811811295234403e+00,2.853951190564756324e+00,4.735492926105278499e+00,1.565178265934038526e+00
1.554165893952177635e+00,-1.542896773572098645e+00,1.829891662420919607e+00,2.853830366573043342e+00,4.735483414598097518e+00,1.565176629048438350e+00
1.554166455827186377e+00,-1.542861743291956911e+00,1.829974610237120602e+00,2.853704814387824751e+00,4.735473544946032121e+00,1.565174932382516593e+00
1.554167037803752427e+00,-1.542825355991820580e+00,1.830060641993971116e+00,2.853574549964012608e+00,4.735463319508604663e+00,1.565173176487823836e+00
1.554167639735988704e+00,-1.542787612933466779e+00,1.830149744941606205e+00,2.853439589256519859e+00,4.735452740645338388e+00,1.565171361915911108e+00
1.554168261478009461e+00,-1.542748515378672192e+00,1.830241906330159818e+00,2.853299948220257232e+00,4.735441810715755651e+00,1.565169489218329213e+00
1.554168902883927394e+00,-1.542708064589213945e+00,1.830337113409766348e+00,2.853155642810137227e+00,4.735430532079377919e+00,1.565167558946628956e+00
1.554169563807856758e+00,-1.542666261826868501e+00,1.830435353430559964e+00,2.853006688981071903e+00,4.735418907095729324e+00,1.565165571652361143e+00
1.554170244103910692e+00,-1.542623108353412986e+00,1.830536613642675281e+00,2.852853102687972875e+00,4.735406938124330445e+00,1.565163527887076800e+00
1.554170943626203227e+00,-1.542578605430624306e+00,1.830640881296246247e+00,2.852694899885752200e+00,4.735394627524706301e+00,1.565161428202326732e+00
