q1,q2,q3,q4,q5,q6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.082895063747036354e-02,-8.543470184275578361e-03,1.147285612710555354e-02,-4.002423922851697929e-02,8.161837167984657346e-03,2.397139789964695955e-02
-4.158589569768694760e-02,-1.714079113417713712e-02,2.302414434518669159e-02,-7.962208126100484007e-02,1.643017247027902736e-02,4.758906424098550969e-02
-6.227083518064974871e-02,-2.579196284970467629e-02,3.465386465424341589e-02,-1.187935260974635615e-01,2.480500590688311524e-02,7.085299902401563654e-02
-8.288376908635879114e-02,-3.449698533085820279e-02,4.636201705427573511e-02,-1.575385737378931783e-01,3.328633747779691926e-02,9.376320224873736786e-02
-1.034246974148140541e-01,-4.325585857763770969e-02,5.814860154528363884e-02,-1.958572241822936488e-01,4.187416718302044288e-02,1.163196739151506759e-01
-1.238936201660155167e-01,-5.206858259004317618e-02,7.001361812726711320e-02,-2.337494774306649870e-01,5.056849502255366530e-02,1.385224140232555745e-01
-1.442905373399632207e-01,-6.093515736807465777e-02,8.195706680022621371e-02,-2.712153334830071927e-01,5.936932099639662813e-02,1.603714225730520637e-01
-1.646154489366571660e-01,-6.985558291173209200e-02,9.397894756416086404e-02,-3.082547923393203493e-01,6.827664510454928282e-02,1.818666995645401296e-01
-1.850779644207177776e-01,-7.896956829194037852e-02,1.062732489735992575e-01,-3.450881670651569366e-01,7.746306685633515265e-02,2.030788980408519406e-01
-2.059494673057769565e-01,-8.845799626903882995e-02,1.190911299904113541e-01,-3.820006992355426956e-01,8.715205259844871488e-02,2.240994932181888388e-01
-2.272310553512228992e-01,-9.832159852250815790e-02,1.324336065646989913e-01,-4.189935426663919937e-01,9.734450626302923459e-02,2.449288551182076390e-01
-2.489240365956127965e-01,-1.085728045731940566e-01,1.463245259052186886e-01,-4.560362367694652530e-01,1.080695898762150942e-01,2.655400827336978353e-01
-2.710328345324968802e-01,-1.192536482778158852e-01,1.608445339329579449e-01,-4.930257706549991403e-01,1.194259228814727319e-01,2.858422028809988191e-01
-2.935578113644478071e-01,-1.303675714343266734e-01,1.760002340621031058e-01,-5.299537096301722983e-01,1.314215803931300386e-01,3.058277665334988016e-01
-3.164989670914655773e-01,-1.419145740427263380e-01,1.917916262926542548e-01,-5.668200536949846713e-01,1.440565624111869725e-01,3.254967736911976717e-01
-3.397785906468817618e-01,-1.538571768156501984e-01,2.081689959800232248e-01,-6.034961590945688847e-01,1.572929054730557996e-01,3.447796645113807568e-01
-3.609535517506966551e-01,-1.650170819152330381e-01,2.235693822904452344e-01,-6.359376410800995361e-01,1.699370899301445026e-01,3.614895721127396322e-01
-3.788609149714118884e-01,-1.748334169574974062e-01,2.372488124008137467e-01,-6.622193635417574775e-01,1.814209977828116771e-01,3.745855430098775085e-01
-3.935006803090276284e-01,-1.833061819424433581e-01,2.492072863111288450e-01,-6.823413264795430422e-01,1.917446290310573509e-01,3.840675772027944967e-01
-4.042455035819974007e-01,-1.899926729136378334e-01,2.588276129551699833e-01,-6.957266751863617760e-01,2.003490050491722463e-01,3.898010720909909077e-01
-4.102082726351616859e-01,-1.942668729692889618e-01,2.652370374513181583e-01,-7.015596934453796063e-01,2.064436877524056801e-01,3.915956894095533602e-01
-4.113838387953697717e-01,-1.961248270280274153e-01,2.684300225585505295e-01,-6.998367375234971766e-01,2.100235453969664656e-01,3.894513433099379141e-01
-4.104196369351136298e-01,-1.967516955015303215e-01,2.700093711585079825e-01,-6.953073364986941396e-01,2.122923246382447116e-01,3.860989741036582323e-01
-4.097418316958404416e-01,-1.972335841577355364e-01,2.714439253062116419e-01,-6.923240580704619340e-01,2.143531640663197124e-01,3.840412725615208189e-01
