q1,q2,q3,q4,q5,q6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.127439359826272556e-03,-3.845094761942302077e-04,4.120635818873975343e-04,-5.371432361446087944e-05,7.961057030537512522e-04,-7.992486866963494302e-04
-2.251733759120268068e-03,-7.676943668315998988e-04,8.226204495466467965e-04,-1.069902851432494973e-04,1.589998114150512412e-03,-1.596253992763415697e-03
-3.372883197881986102e-03,-1.149554671912109182e-03,1.231670602977747841e-03,-1.598278845863658807e-04,2.381677233290283371e-03,-2.391015918201198475e-03
-4.490887676111427959e-03,-1.530090391435757731e-03,1.639214042180700721e-03,-2.122271219438099754e-04,3.171143060473064889e-03,-3.183534463009697873e-03
-5.605747193808591905e-03,-1.909301525402546090e-03,2.045250767155505113e-03,-2.641879972155818492e-04,3.958395595698855664e-03,-3.973809627188913673e-03
-6.717461750973477939e-03,-2.287188073812473823e-03,2.449780777902161449e-03,-3.157105104016813936e-04,4.743434838967656997e-03,-4.761841410738847612e-03
-7.826031347606088664e-03,-2.663750036665540714e-03,2.852804074420669297e-03,-3.667946615021087172e-04,5.526260790279469322e-03,-5.547629813659496652e-03
-8.931455983706421478e-03,-3.038987413961747631e-03,3.254320656711029523e-03,-4.174404505168638198e-04,6.306873449634290904e-03,-6.331174835950863396e-03
-1.003373565927447898e-02,-3.412900205701094140e-03,3.654330524773241259e-03,-4.676478774459466472e-04,7.085272817032123478e-03,-7.112476477612946976e-03
-1.113287037431025597e-02,-3.785488411883579807e-03,4.052833678607304507e-03,-5.174169422893572538e-04,7.861458892472963575e-03,-7.891534738645745659e-03
-1.222886012881375765e-02,-4.156752032509204199e-03,4.449830118213218833e-03,-5.667476450470954226e-04,8.635431675956813796e-03,-8.668349619049262045e-03
-1.332170492278498229e-02,-4.526691067577969484e-03,4.845319843590985970e-03,-6.156399857191615331e-04,9.407191167483676744e-03,-9.442921118823496135e-03
-1.441140475622393162e-02,-4.895305517089873493e-03,5.239302854740604184e-03,-6.640939643055552601e-04,1.017673736705354895e-02,-1.021524923796844619e-02
-1.549795962913060043e-02,-5.262595381044917094e-03,5.631779151662074344e-03,-7.121095808062768203e-04,1.094407027466643041e-02,-1.098533397648411222e-02
-1.658136954150499220e-02,-5.628560659443099419e-03,6.022748734355396448e-03,-7.596868352213259970e-04,1.170918989032232113e-02,-1.175317533437049422e-02
-1.766163449334711213e-02,-5.993201352284422204e-03,6.412211602820570497e-03,-8.068257275507031154e-04,1.247209621402122458e-02,-1.251877331162759392e-02
-1.873875448465695329e-02,-6.356517459568885448e-03,6.800167757057596490e-03,-8.535262577944078503e-04,1.323278924576313555e-02,-1.328212790825541133e-02
-1.981272951543451566e-02,-6.718508981296487416e-03,7.186617197066474429e-03,-8.997884259524404184e-04,1.399126898554805924e-02,-1.404323912425394470e-02
-2.088355958567979578e-02,-7.079175917467228109e-03,7.571559922847202577e-03,-9.456122320248003862e-04,1.474753543337598873e-02,-1.480210695962319405e-02
-2.195124469539280407e-02,-7.438518268081108394e-03,7.954995934399784405e-03,-9.909976760114885125e-04,1.550158858924692920e-02,-1.555873141436315936e-02
-2.301578484457353704e-02,-7.796536033138128270e-03,8.336925231724216442e-03,-1.035944757912504255e-03,1.625342845316088414e-02,-1.631311248847384585e-02
-2.407718003322198777e-02,-8.153229212638286871e-03,8.717347814820499557e-03,-1.080453477727847614e-03,1.700305502511784486e-02,-1.706525018195524310e-02
-2.513543026133816666e-02,-8.508597806581587666e-03,9.096263683688635485e-03,-1.124523835457518807e-03,1.775046830511781484e-02,-1.781514449480735979e-02
-2.619053552892206677e-02,-8.862641814968026319e-03,9.473672838328624224e-03,-1.168155831101517833e-03,1.849566829316079755e-02,-1.856279542703019592e-02
-2.724249583597368810e-02,-9.215361237797604563e-03,9.849575278740464040e-03,-1.211349464659844475e-03,1.923865498924679299e-02,-1.930820297862374454e-02
-2.829131118249303758e-02,-9.566756075070322399e-03,1.022397100492415493e-02,-1.254104736132498951e-03,1.997942839337579421e-02,-2.005136714958801261e-02
-2.933698156848010483e-02,-9.916826326786178092e-03,1.059686001687969691e-02,-1.296421645519481042e-03,2.071798850554780469e-02,-2.079228793992299318e-02
-3.037950699393489676e-02,-1.026557199294517511e-02,1.096824231460709169e-02,-1.338300192820790968e-03,2.145433532576283137e-02,-2.153096534962869318e-02
-3.141888745885740991e-02,-1.061299307354731172e-02,1.133811789810633755e-02,-1.379740378036428509e-03,2.218846885402086383e-02,-2.226739937870510916e-02
-3.245512296324764429e-02,-1.095908956859258446e-02,1.170648676737743622e-02,-1.420742201166393884e-03,2.292038909032190208e-02,-2.300159002715224457e-02
-3.348821350710560335e-02,-1.130386147808100199e-02,1.207334892242038771e-02,-1.461305662210687093e-03,2.365009603466595306e-02,-2.373353729497009595e-02
-3.451815909043129404e-02,-1.164730880201255564e-02,1.243870436323519027e-02,-1.501430761169307918e-03,2.437758968705302023e-02,-2.446324118215865984e-02
-3.554495971322470249e-02,-1.198943154038725062e-02,1.280255308982184217e-02,-1.541117498042256576e-03,2.510287004748309320e-02,-2.519070168871794663e-02
-3.656861537548582869e-02,-1.233022969320508345e-02,1.316489510218034863e-02,-1.580365872829532850e-03,2.582593711595617542e-02,-2.591591881464794592e-02
-3.758912607721467958e-02,-1.266970326046605762e-02,1.352573040031070616e-02,-1.619175885531137175e-03,2.654679089247226689e-02,-2.663889255994866465e-02
-3.860649181841125516e-02,-1.300785224217016964e-02,1.388505898421291476e-02,-1.657547536147068899e-03,2.726543137703137110e-02,-2.735962292462009934e-02
-3.962071259907554849e-02,-1.334467663831741951e-02,1.424288085388697271e-02,-1.695480824677328456e-03,2.798185856963347762e-02,-2.807810990866224307e-02
-4.063178841920757345e-02,-1.368017644890781245e-02,1.459919600933288694e-02,-1.732975751121915414e-03,2.869607247027860034e-02,-2.879435351207511318e-02
-4.163971927880731616e-02,-1.401435167394134325e-02,1.495400445055064878e-02,-1.770032315480830638e-03,2.940807307896673578e-02,-2.950835373485869578e-02
-4.264450517787478356e-02,-1.434720231341801537e-02,1.530730617754026690e-02,-1.806650517754073695e-03,3.011786039569787701e-02,-3.022011057701299436e-02
-4.364614611640996872e-02,-1.467872836733782362e-02,1.565910119030173436e-02,-1.842830357941643935e-03,3.082543442047203444e-02,-3.092962403853801584e-02
-4.464464209441288550e-02,-1.500892983570077319e-02,1.600938948883505464e-02,-1.878571836043542442e-03,3.153079515328920113e-02,-3.163689411943375329e-02
-4.563999311188352004e-02,-1.533780671850686408e-02,1.635817107314022426e-02,-1.913874952059768132e-03,3.223394259414937013e-02,-3.234192081970020671e-02
-4.663219916882187233e-02,-1.566535901575609110e-02,1.670544594321724668e-02,-1.948739705990321872e-03,3.293487674305254492e-02,-3.304470413933736916e-02
-4.762126026522795624e-02,-1.599158672744845772e-02,1.705121409906612193e-02,-1.983166097835203662e-03,3.363359759999873938e-02,-3.374524407834524758e-02
-4.860717640110175791e-02,-1.631648985358396739e-02,1.739547554068684651e-02,-2.017154127594412635e-03,3.433010516498794656e-02,-3.444354063672384891e-02
-4.958994757644328427e-02,-1.664006839416261319e-02,1.773823026807942738e-02,-2.050703795267949658e-03,3.502439943802015954e-02,-3.513959381447316621e-02
