q1,q2,q3,q4,q5,q6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.921787888303768104e-03,5.536256932137546003e-04,-7.306414753666055353e-04,8.541874885777886179e-05,-9.651151587185028639e-04,6.120831269251356588e-05
-3.834971640916950975e-03,1.100172854771273899e-03,-1.452283918046967616e-03,1.725695715811716017e-04,-1.920585271407387494e-03,1.182989424297517354e-04
-5.739551257839549045e-03,1.639641484672558006e-03,-2.164927328041086566e-03,2.614524681701782061e-04,-2.866410338066653889e-03,1.712718892117145357e-04
-7.635526739071562749e-03,2.172031582917606594e-03,-2.868571705348962279e-03,3.520674386247986615e-04,-3.802590358696301184e-03,2.201271530384019126e-04
-9.522898084612990352e-03,2.697343149506420314e-03,-3.563217049970594102e-03,4.444144829450329950e-04,-4.729125333296330461e-03,2.648647339098139609e-04
-1.140166529446383359e-02,3.215576184438998734e-03,-4.248863361905982905e-03,5.384936011308812066e-04,-5.646015261866742588e-03,3.054846318259505722e-04
-1.327182836862409246e-02,3.726730687715341418e-03,-4.925510641155129120e-03,6.343047931823432963e-04,-6.553260144407534529e-03,3.419868467868117465e-04
-1.513338730709376523e-02,4.230806659335449235e-03,-5.593158887718031880e-03,7.318480590994191556e-04,-7.450859980918708887e-03,3.743713787923975923e-04
-1.698634210987285537e-02,4.727804099299321751e-03,-6.251808101594691185e-03,8.311233988821090015e-04,-8.338814771400264794e-03,4.026382278427081095e-04
-1.883069277696135940e-02,5.217723007606958098e-03,-6.901458282785106167e-03,9.321308125304125086e-04,-9.217124515852201383e-03,4.267873939377431897e-04
-2.066643930835927387e-02,5.700563384258360011e-03,-7.542109431289278562e-03,1.034870300044329894e-03,-1.008578921427451952e-02,4.468188770775027787e-04
-2.249358170406660917e-02,6.176325229253527491e-03,-8.173761547107206635e-03,1.139341861423861374e-03,-1.094480886666722268e-02,4.627326772619871475e-04
-2.431211996408336184e-02,6.645008542592458801e-03,-8.796414630238894722e-03,1.245545496669006732e-03,-1.179418347303030565e-02,4.745287944911960251e-04
-2.612205408840952148e-02,7.106613324275153944e-03,-9.410068680684335884e-03,1.353481205779765752e-03,-1.263391303336376843e-02,4.822072287651294658e-04
-2.792338407704509848e-02,7.561139574301614652e-03,-1.001472369844353359e-02,1.463148988756138649e-03,-1.346399754766761277e-02,4.857679800837876320e-04
-2.971610992999009285e-02,8.008587292671840926e-03,-1.061037968351649131e-02,1.574548845598125425e-03,-1.428443701594184212e-02,4.852110484471703613e-04
-3.150023164724450458e-02,8.448956479385830165e-03,-1.119703663590320385e-02,1.687680776305726296e-03,-1.509523143818645129e-02,4.805364338552777078e-04
-3.327574922880833369e-02,8.882247134443585837e-03,-1.177469455560367466e-02,1.802544780878940827e-03,-1.589638081440144027e-02,4.717441363081097258e-04
-3.504266267468156282e-02,9.308459257845104473e-03,-1.234335344261789855e-02,1.919140859317769020e-03,-1.668788514458681080e-02,4.588341558056663067e-04
-3.680097198486421972e-02,9.727592849590387808e-03,-1.290301329694588071e-02,2.037469011622211525e-03,-1.746974442874256461e-02,4.418064923479474507e-04
-3.855067715935629052e-02,1.013964790967943758e-02,-1.345367411858762290e-02,2.157529237792267691e-03,-1.824195866686870171e-02,4.206611459349531576e-04
-4.029177819815776829e-02,1.054462443811225031e-02,-1.399533590754311642e-02,2.279321537827937519e-03,-1.900452785896521515e-02,3.953981165666835360e-04
-4.202427510126866689e-02,1.094252243488882947e-02,-1.452799866381236996e-02,2.402845911729221441e-03,-1.975745200503211535e-02,3.660174042431386943e-04
-4.374816786868898633e-02,1.133334190000917507e-02,-1.505166238739537830e-02,2.528102359496119025e-03,-2.050073110506939883e-02,3.325190089643183071e-04
-4.546345650041871966e-02,1.171708283347328190e-02,-1.556632707829214840e-02,2.655090881128630703e-03,-2.123436515907706212e-02,2.949029307302223745e-04
-4.717014099645786690e-02,1.209374523528115516e-02,-1.607199273650267157e-02,2.783811476626756477e-03,-2.195835416705510523e-02,2.531691695408511134e-04
-4.886822135680642110e-02,1.246332910543279139e-02,-1.656865936202694609e-02,2.914264145990495044e-03,-2.267269812900352816e-02,2.073177253962047405e-04
-5.055769758146439613e-02,1.282583444392819405e-02,-1.705632695486498582e-02,3.046448889219849007e-03,-2.337739704492233436e-02,1.573485982962826053e-04
-5.223856967043178506e-02,1.318126125076735794e-02,-1.753499551501677689e-02,3.180365706314815764e-03,-2.407245091481152385e-02,1.032617882410855753e-04
-5.391083762370858790e-02,1.352960952595029173e-02,-1.800466504248232624e-02,3.316014597275396616e-03,-2.475785973867109316e-02,4.505729523061278302e-05
-5.557450144129480463e-02,1.387087926947698849e-02,-1.846533553726163387e-02,3.453395562101591130e-03,-2.543362351650104575e-02,-1.726488073513533783e-05
-5.722956112319044220e-02,1.420507048134744821e-02,-1.891700699935469632e-02,3.592508600793399738e-03,-2.609974224830137815e-02,-8.370473965615878725e-05
-5.887601666939549366e-02,1.453218316156167436e-02,-1.935967942876151704e-02,3.733353713350822441e-03,-2.675621593407209384e-02,-1.542622815324575652e-04
-6.051386807990996597e-02,1.485221731011966348e-02,-1.979335282548209257e-02,3.875930899773859239e-03,-2.740304457381318934e-02,-2.289375063640321055e-04
-6.214311535473383830e-02,1.516517292702141903e-02,-2.021802718951642985e-02,4.020240160062509699e-03,-2.804022816752466812e-02,-3.077304141508815406e-04
-6.376375849386714534e-02,1.547105001226694102e-02,-2.063370252086451848e-02,4.166281494216773386e-03,-2.866776671520653019e-02,-3.906410048930067380e-04
-6.537579749730983159e-02,1.576984856585622249e-02,-2.104037881952636191e-02,4.314054902236651168e-03,-2.928566021685876514e-02,-4.776692785904068303e-04
-6.697923236506196643e-02,1.606156858778927388e-02,-2.143805608550196362e-02,4.463560384122142177e-03,-2.989390867248139030e-02,-5.688152352430826848e-04
-6.857406309712350823e-02,1.634621007806608475e-02,-2.182673431879132708e-02,4.614797939873248149e-03,-3.049251208207439529e-02,-6.640788748510343016e-04
-7.016028969349445699e-02,1.662377303668666553e-02,-2.220641351939444189e-02,4.767767569489968216e-03,-3.108147044563778008e-02,-7.634601974142608133e-04
-7.173791215417484046e-02,1.689425746365100928e-02,-2.257709368731131844e-02,4.922469272972301510e-03,-3.166078376317155163e-02,-8.669592029327630872e-04
-7.330693047916461702e-02,1.715766335895911598e-02,-2.293877482254194633e-02,5.078903050320248899e-03,-3.223045203467569952e-02,-9.745758914065402560e-04
-7.486734466846382829e-02,1.741399072261098913e-02,-2.329145692508633250e-02,5.237068901533810383e-03,-3.279047526015022723e-02,-1.086310262835593187e-03
-7.641915472207241877e-02,1.766323955460662523e-02,-2.363513999494447348e-02,5.396966826612984228e-03,-3.334085343959514169e-02,-1.202162317219921013e-03
-7.796236063999045784e-02,1.790540985494602777e-02,-2.396982403211637969e-02,5.558596825557773902e-03,-3.388158657301043597e-02,-1.322132054559524168e-03
-7.949696242221790388e-02,1.814050162362919327e-02,-2.429550903660203376e-02,5.721958898368175936e-03,-3.441267466039611006e-02,-1.446219474854403084e-03
-8.102296006875477075e-02,1.836851486065613215e-02,-2.461219500840144958e-02,5.887053045044192932e-03,-3.493411770175217090e-02,-1.574424578104557763e-03
-8.254035357960104458e-02,1.858944956602682705e-02,-2.491988194751461327e-02,6.053879265585824024e-03,-3.544591569707861156e-02,-1.706747364309987337e-03
-8.404914295475673924e-02,1.880330573974128838e-02,-2.521856985394154219e-02,6.222437559993068343e-03,-3.594806864637543203e-02,-1.843187833470693107e-03
