q1,q2,q3,q4,q5,q6
-2.086495342609724801e+00,-8.516544801462587744e-01,1.143364008161775969e+00,-4.023743782653154355e+00,8.108588100829799972e-01,2.414826367880116731e+00
-2.050492553982837141e+00,-8.785798629592492803e-01,1.182580053649569418e+00,-3.810545184638591376e+00,8.641078772378375517e-01,2.237960588725910416e+00
-2.107654546525256301e+00,-9.676015115283885804e-01,1.308017879554986163e+00,-3.695268780061755187e+00,9.940719703347037361e-01,2.092497853867783864e+00
-2.314924517455121844e+00,-1.176354233434416141e+00,1.610923828125415680e+00,-3.683554660963201943e+00,1.295464427125677886e+00,1.951072891029836498e+00
-8.356994042757373009e-01,-5.482602191706862360e-01,8.018021694397420296e-01,-9.612123993098157237e-01,7.352378747736477704e-01,3.764742238574548816e-01
2.482103077988889739e-02,-2.644189302588049323e-02,1.217362469322940954e-01,6.640945333757403146e-02,1.748929708270273164e-01,-1.157000459240919987e-02
3.150235473333596881e-01,2.556222509835464618e-01,-2.495514175399802248e-01,3.580926572642922912e-02,-1.729997651809091208e-01,2.156751190477023683e-01
4.517765918062310870e-01,4.073585401272067363e-01,-4.704383342864942863e-01,-1.874688393323640373e-02,-3.962818166166312550e-01,3.525234072238006000e-01
4.752917073504563938e-01,4.350631598681670709e-01,-5.317615381550030440e-01,-6.531706547292836021e-03,-4.689021635327070281e-01,3.470266396032591349e-01
4.157668146974169421e-01,3.842038323545581835e-01,-4.828617314631981627e-01,-2.037914502131818809e-03,-4.348989855345238298e-01,2.949077722287310466e-01
3.409583719345045671e-01,3.174871812435690610e-01,-4.061450031235776525e-01,-1.299835799116145054e-03,-3.706779436674882411e-01,2.387021556863700988e-01
2.749018506034755505e-01,2.574167042591645749e-01,-3.335945116812141231e-01,-7.311289467645896295e-04,-3.073411859632800280e-01,1.904617836104298967e-01
2.223926057287081703e-01,2.091589307606834258e-01,-2.737740585377299030e-01,-3.745745033484300162e-04,-2.540258288019952571e-01,1.527973013460806329e-01
1.819678596749451094e-01,1.717545168750680140e-01,-2.266404384662695504e-01,-1.591695988810745265e-04,-2.114873940487740633e-01,1.241556524301688641e-01
1.506549465415112088e-01,1.426419501806381052e-01,-1.895346191598264451e-01,-2.624468307124346665e-05,-1.777128903389680326e-01,1.021670923187292662e-01
1.261046109878822818e-01,1.197365665454179356e-01,-1.600749707935938126e-01,2.189770130734559471e-05,-1.507257360898716647e-01,8.508450585201451921e-02
1.070905525290357097e-01,1.019332671799433182e-01,-1.369974742473095419e-01,5.827979382889728554e-05,-1.294629126500294325e-01,7.192636996206049071e-02
9.214075852140543588e-02,8.773117047309801630e-02,-1.185501697052910725e-01,9.166662904759274996e-04,-1.122911006627724112e-01,6.082477990948458035e-02
7.826254713605911018e-02,7.574906652679998242e-02,-1.023508594543577760e-01,-4.480908683182693170e-03,-9.788995394579272369e-02,5.652759580477537821e-02
6.685000094247482705e-02,6.641792381818793778e-02,-9.248164892319037100e-02,6.524410603821690149e-04,-8.517986681865458154e-02,4.391459721743092015e-02
5.493177524251326854e-02,5.928283767782563385e-02,-8.660077771654164924e-02,1.628942689964208356e-03,-7.451002353564487035e-02,3.505285506884007335e-02
4.596745732369159065e-02,5.402455749814085578e-02,-8.208312768725396780e-02,1.026311469924722636e-03,-6.675980420659134718e-02,2.966217492588625604e-02
3.904437764693420576e-02,5.009227514178263979e-02,-7.895658180968029294e-02,8.836169245843546530e-04,-6.086017430224211627e-02,2.519184849759015243e-02
3.356546467530407279e-02,4.710728075457962932e-02,-7.674430205050726539e-02,7.017280761220552610e-04,-5.632614797564619580e-02,2.171985489683373946e-02
2.913656759296038776e-02,4.482968559086112498e-02,-7.526056275585606137e-02,5.839436955984726643e-04,-5.279138807391282190e-02,1.888559944044374342e-02
2.549803753551141763e-02,4.310084889109895567e-02,-7.435268952954751653e-02,4.812828222573270909e-04,-5.002895387724820564e-02,1.656301671730788655e-02
2.250132313964434833e-02,4.183180040986875931e-02,-7.395023279987222864e-02,4.167405404351822535e-04,-4.790497406715520795e-02,1.463120964042109555e-02
1.993639152723154090e-02,4.090018353736793455e-02,-7.393443926458137527e-02,3.202655020593753264e-04,-4.624387559715686241e-02,1.301763760327889763e-02
1.776742128016040381e-02,4.025398727595035087e-02,-7.426639795115996812e-02,3.694083020904809916e-04,-4.496677572085303054e-02,1.152787030892833513e-02
1.576010089265280842e-02,3.983548571248145959e-02,-7.487833172427253714e-02,7.365252375293133025e-05,-4.399503665080672921e-02,1.047721669176553995e-02
1.421724933186749480e-02,3.964862197849287895e-02,-7.581551556459806274e-02,4.968320247250866727e-04,-4.331932246724332775e-02,9.045138862602072546e-03
1.276198424342778713e-02,3.963812776696479245e-02,-7.699489893527908246e-02,6.344951055920358771e-04,-4.287090615329852000e-02,7.945825955241516206e-03
8.967873248504270450e-03,3.955843513779983694e-02,-7.794007523183332786e-02,-6.680532255506957048e-03,-4.238328912767705403e-02,1.245021274259638239e-02
8.990207875816447203e-03,4.012676462734116739e-02,-8.009856738306658785e-02,-3.183753653472884849e-03,-4.261400681811600144e-02,9.107665501453006754e-03
9.091906462111019882e-03,4.070856990192916330e-02,-8.228229074659940134e-02,5.378592079511865590e-04,-4.285966246197635970e-02,5.601939268123167989e-03
8.478235485666870200e-03,4.136595351915953872e-02,-8.453488912765834418e-02,1.825033877234494891e-03,-4.321559980257558969e-02,3.958899854293601236e-03
7.163963510852936097e-03,4.209735518953108130e-02,-8.685494062463895715e-02,7.280285132360217459e-04,-4.367954211132214076e-02,4.140092716146319060e-03
5.849691536039001993e-03,4.282875685990263082e-02,-8.917499212161955624e-02,-3.689768507624513992e-04,-4.414348442006868489e-02,4.321285577999037751e-03
