q1,q2,q3,q4,q5,q6
-1.563599287064842613e+01,-5.392273790060840177e+00,5.800355768025333703e+00,-8.143370029076933969e-01,1.103851662685510604e+01,-1.108888998103094714e+01
-1.564480440903709280e+01,-5.365520467782239677e+00,5.761279843851044191e+00,-7.805723666370694147e-01,1.104567705409398926e+01,-1.109337450502671807e+01
-1.565361594742575768e+01,-5.338767145503639178e+00,5.722203919676754680e+00,-7.468077303664455435e-01,1.105283748133287425e+01,-1.109785902902249077e+01
-1.566242748581442434e+01,-5.312013823225038678e+00,5.683127995502465168e+00,-7.130430940958216723e-01,1.105999790857175746e+01,-1.110234355301826170e+01
-1.567123902420309101e+01,-5.285260500946438178e+00,5.644052071328175657e+00,-6.792784578251976901e-01,1.106715833581064246e+01,-1.110682807701403441e+01
-1.568005056259175589e+01,-5.258507178667837678e+00,5.604976147153886146e+00,-6.455138215545737079e-01,1.107431876304952567e+01,-1.111131260100980533e+01
-1.568886210098042255e+01,-5.231753856389237178e+00,5.565900222979596634e+00,-6.117491852839498367e-01,1.108147919028841066e+01,-1.111579712500557804e+01
-1.569767363936908922e+01,-5.205000534110636679e+00,5.526824298805307123e+00,-5.779845490133259656e-01,1.108863961752729388e+01,-1.112028164900134897e+01
-1.570648517775775410e+01,-5.178247211832036179e+00,5.487748374631017612e+00,-5.442199127427019834e-01,1.109580004476617887e+01,-1.112476617299711990e+01
-1.571529671614642076e+01,-5.151493889553435679e+00,5.448672450456728100e+00,-5.104552764720780011e-01,1.110296047200506209e+01,-1.112925069699289260e+01
-1.572410825453508743e+01,-5.124740567274835179e+00,5.409596526282438589e+00,-4.766906402014541300e-01,1.111012089924394708e+01,-1.113373522098866353e+01
-1.573291979292375231e+01,-5.097987244996234679e+00,5.370520602108149077e+00,-4.429260039308302588e-01,1.111728132648283029e+01,-1.113821974498443623e+01
-1.574173133131241897e+01,-5.071233922717634179e+00,5.331444677933859566e+00,-4.091613676602062766e-01,1.112444175372171529e+01,-1.114270426898020716e+01
-1.575054286970108564e+01,-5.044480600439033680e+00,5.292368753759570055e+00,-3.753967313895823499e-01,1.113160218096059850e+01,-1.114718879297597809e+01
-1.575935440808975052e+01,-5.017727278160433180e+00,5.253292829585280543e+00,-3.416320951189584232e-01,1.113876260819948349e+01,-1.115167331697175079e+01
-1.576816594647841718e+01,-4.990973955881832680e+00,5.214216905410991032e+00,-3.078674588483345520e-01,1.114592303543836671e+01,-1.115615784096752172e+01
-1.577697748486708385e+01,-4.964220633603233068e+00,5.175140981236701521e+00,-2.741028225777105698e-01,1.115308346267725170e+01,-1.116064236496329443e+01
-1.578578902325574873e+01,-4.937467311324631680e+00,5.136065057062411121e+00,-2.403381863070865876e-01,1.116024388991613492e+01,-1.116512688895906535e+01
-1.579460056164441539e+01,-4.910713989046032069e+00,5.096989132888121610e+00,-2.065735500364627164e-01,1.116740431715501991e+01,-1.116961141295483806e+01
-1.580341210003308206e+01,-4.883960666767431569e+00,5.057913208713832098e+00,-1.728089137658388452e-01,1.117456474439390313e+01,-1.117409593695060899e+01
-1.581222363842174872e+01,-4.857207344488831069e+00,5.018837284539542587e+00,-1.390442774952148630e-01,1.118172517163278812e+01,-1.117858046094637992e+01
-1.582103517681041360e+01,-4.830454022210230569e+00,4.979761360365253076e+00,-1.052796412245909918e-01,1.118888559887167133e+01,-1.118306498494215262e+01
-1.582984671519908026e+01,-4.803700699931630069e+00,4.940685436190963564e+00,-7.151500495396712065e-02,1.119604602611055633e+01,-1.118754950893792355e+01
-1.583865825358774693e+01,-4.776947377653029569e+00,4.901609512016674053e+00,-3.775036868334313844e-02,1.120320645334943954e+01,-1.119203403293369625e+01
-1.584746979197641181e+01,-4.750194055374429070e+00,4.862533587842384541e+00,-3.985732412719156237e-03,1.121036688058832276e+01,-1.119651855692946718e+01
-1.585628133036507847e+01,-4.723440733095828570e+00,4.823457663668095030e+00,2.977890385790471495e-02,1.121752730782720775e+01,-1.120100308092523811e+01
-1.586509286875374514e+01,-4.696687410817228070e+00,4.784381739493805519e+00,6.354354012852869715e-02,1.122468773506609097e+01,-1.120548760492101081e+01
-1.587390440714241002e+01,-4.669934088538627570e+00,4.745305815319516007e+00,9.730817639915256834e-02,1.123184816230497596e+01,-1.120997212891678174e+01
