q1,q2,q3,q4,q5,q6
-9.630449780745302668e-01,2.785824795209361215e-01,-3.675704958548635659e-01,4.227635596248596750e-02,-4.849688408666560369e-01,3.163357708507563010e-02
-9.587429102292377436e-01,2.750432136928184779e-01,-3.630709795117418870e-01,4.314239289529289700e-02,-4.801463178518468600e-01,2.957473560743793459e-02
-9.544408423839453315e-01,2.715039478647008342e-01,-3.585714631686202636e-01,4.400842982809983345e-02,-4.753237948370376831e-01,2.751589412980023908e-02
-9.501387745386528083e-01,2.679646820365831905e-01,-3.540719468254985847e-01,4.487446676090676295e-02,-4.705012718222284507e-01,2.545705265216254704e-02
-9.458367066933603962e-01,2.644254162084655468e-01,-3.495724304823769613e-01,4.574050369371369246e-02,-4.656787488074192738e-01,2.339821117452485152e-02
-9.415346388480678730e-01,2.608861503803479032e-01,-3.450729141392552823e-01,4.660654062652062890e-02,-4.608562257926100969e-01,2.133936969688715601e-02
-9.372325710027754608e-01,2.573468845522302595e-01,-3.405733977961336589e-01,4.747257755932755841e-02,-4.560337027778009200e-01,1.928052821924946397e-02
-9.329305031574829377e-01,2.538076187241126158e-01,-3.360738814530119800e-01,4.833861449213448791e-02,-4.512111797629917431e-01,1.722168674161176846e-02
-9.286284353121904145e-01,2.502683528959950277e-01,-3.315743651098903566e-01,4.920465142494141741e-02,-4.463886567481825107e-01,1.516284526397407295e-02
-9.243263674668980023e-01,2.467290870678773562e-01,-3.270748487667686777e-01,5.007068835774835386e-02,-4.415661337333733338e-01,1.310400378633637744e-02
-9.200242996216054792e-01,2.431898212397597125e-01,-3.225753324236470543e-01,5.093672529055528336e-02,-4.367436107185641569e-01,1.104516230869868540e-02
-9.157222317763130670e-01,2.396505554116420966e-01,-3.180758160805253754e-01,5.180276222336221287e-02,-4.319210877037549801e-01,8.986320831060993358e-03
-9.114201639310205438e-01,2.361112895835244530e-01,-3.135762997374037520e-01,5.266879915616914931e-02,-4.270985646889458032e-01,6.927479353423297848e-03
-9.071180960857281317e-01,2.325720237554068093e-01,-3.090767833942820730e-01,5.353483608897607882e-02,-4.222760416741365708e-01,4.868637875785598867e-03
-9.028160282404356085e-01,2.290327579272891656e-01,-3.045772670511604496e-01,5.440087302178300832e-02,-4.174535186593273939e-01,2.809796398147906826e-03
-8.985139603951430853e-01,2.254934920991715219e-01,-3.000777507080387707e-01,5.526690995458993783e-02,-4.126309956445182170e-01,7.509549205102147851e-04
-8.942118925498506732e-01,2.219542262710538782e-01,-2.955782343649171473e-01,5.613294688739687427e-02,-4.078084726297090401e-01,-1.307886557127484195e-03
-8.899098247045581500e-01,2.184149604429362346e-01,-2.910787180217954684e-01,5.699898382020380377e-02,-4.029859496148998632e-01,-3.366728034765176236e-03
-8.856077568592657379e-01,2.148756946148185909e-01,-2.865792016786737895e-01,5.786502075301074022e-02,-3.981634266000906308e-01,-5.425569512402875216e-03
-8.813056890139732147e-01,2.113364287867009472e-01,-2.820796853355521661e-01,5.873105768581766972e-02,-3.933409035852814539e-01,-7.484410990040560319e-03
-8.770036211686808025e-01,2.077971629585833035e-01,-2.775801689924305427e-01,5.959709461862459923e-02,-3.885183805704722770e-01,-9.543252467678259299e-03
-8.727015533233882794e-01,2.042578971304656599e-01,-2.730806526493088637e-01,6.046313155143152873e-02,-3.836958575556631001e-01,-1.160209394531595828e-02
-8.683994854780958672e-01,2.007186313023480440e-01,-2.685811363061872403e-01,6.132916848423845824e-02,-3.788733345408539233e-01,-1.366093542295364338e-02
-8.640974176328033440e-01,1.971793654742304003e-01,-2.640816199630655614e-01,6.219520541704539468e-02,-3.740508115260446909e-01,-1.571977690059134236e-02
-8.597953497875108209e-01,1.936400996461127566e-01,-2.595821036199439380e-01,6.306124234985233112e-02,-3.692282885112355140e-01,-1.777861837822903440e-02
-8.554932819422184087e-01,1.901008338179951129e-01,-2.550825872768222591e-01,6.392727928265926063e-02,-3.644057654964263371e-01,-1.983745985586673338e-02
-8.511912140969258855e-01,1.865615679898774693e-01,-2.505830709337005802e-01,6.479331621546619013e-02,-3.595832424816171047e-01,-2.189630133350443236e-02
-8.468891462516334734e-01,1.830223021617598533e-01,-2.460835545905789568e-01,6.565935314827311964e-02,-3.547607194668079833e-01,-2.395514281114211746e-02
-8.425870784063409502e-01,1.794830363336422097e-01,-2.415840382474573056e-01,6.652539008108004914e-02,-3.499381964519987509e-01,-2.601398428877981645e-02
-8.382850105610484270e-01,1.759437705055245660e-01,-2.370845219043356544e-01,6.739142701388697865e-02,-3.451156734371895740e-01,-2.807282576641750849e-02
-8.339829427157560149e-01,1.724045046774069223e-01,-2.325850055612140033e-01,6.825746394669390815e-02,-3.402931504223803971e-01,-3.013166724405520053e-02
-8.296808748704636027e-01,1.688652388492892786e-01,-2.280854892180923521e-01,6.912350087950085153e-02,-3.354706274075712202e-01,-3.219050872169289951e-02
-8.253788070251710796e-01,1.653259730211716350e-01,-2.235859728749707009e-01,6.998953781230778104e-02,-3.306481043927620433e-01,-3.424935019933059849e-02
-8.210767391798785564e-01,1.617867071930539913e-01,-2.190864565318490498e-01,7.085557474511471054e-02,-3.258255813779528109e-01,-3.630819167696828359e-02
-8.167746713345860332e-01,1.582474413649363476e-01,-2.145869401887273986e-01,7.172161167792164005e-02,-3.210030583631436341e-01,-3.836703315460598257e-02
-8.124726034892936211e-01,1.547081755368187039e-01,-2.100874238456057475e-01,7.258764861072858343e-02,-3.161805353483344572e-01,-4.042587463224368155e-02
-8.081705356440012089e-01,1.511689097087010603e-01,-2.055879075024840685e-01,7.345368554353551294e-02,-3.113580123335252248e-01,-4.248471610988138053e-02
-8.038684677987086857e-01,1.476296438805834443e-01,-2.010883911593624451e-01,7.431972247634244244e-02,-3.065354893187161034e-01,-4.454355758751906563e-02
-7.995663999534161626e-01,1.440903780524658007e-01,-1.965888748162407940e-01,7.518575940914937195e-02,-3.017129663039068710e-01,-4.660239906515675073e-02
-7.952643321081237504e-01,1.405511122243481570e-01,-1.920893584731191428e-01,7.605179634195630145e-02,-2.968904432890976941e-01,-4.866124054279444971e-02
-7.909622642628312272e-01,1.370118463962305133e-01,-1.875898421299974916e-01,7.691783327476323096e-02,-2.920679202742885172e-01,-5.072008202043214870e-02
-7.866601964175388151e-01,1.334725805681128696e-01,-1.830903257868758405e-01,7.778387020757016046e-02,-2.872453972594792848e-01,-5.277892349806984768e-02
-7.823581285722462919e-01,1.299333147399952260e-01,-1.785908094437541893e-01,7.864990714037708996e-02,-2.824228742446701634e-01,-5.483776497570754666e-02
-7.780560607269537687e-01,1.263940489118775823e-01,-1.740912931006325104e-01,7.951594407318403335e-02,-2.776003512298609310e-01,-5.689660645334523176e-02
-7.737539928816613566e-01,1.228547830837599664e-01,-1.695917767575108870e-01,8.038198100599094897e-02,-2.727778282150518097e-01,-5.895544793098291686e-02
